Reference	Prediction
nɯnɯ athɤrji nɯ ɲɯmbrɤt tɕe ɯndɤcu ri li tɯji ci kundzoʁ ŋu tɕe	nɯnɯ athɤrji nɯ ɲɯmbrɤt tɕe ɯndɤcu ri li tɯji ci kundzoʁ tɕe
pjɯru qhe tɕeki tɯci ɯŋgɯ ɯʑo pɯkɯntɕhɤr nɯ pjɤmto	pjɯru qhe tɕeki tɯci ɯŋgɯ ɯʑo pjɯkɯntɕhɤr nɯ pjɤmto
tɕe nɯnɯ tɕe tɕe nɯnɯ tɤtu tɕe tɕe	tɕe nɯnɯ tɕetɕe nɯnɯ tɤtu tɕetɕe
nɯ mɤʑɯ tɕe tɕe ɬɤndʐi ʁnɯz nɯ nɯnɯ sakaβ ɯrkɯ nɯtɕu li ɲɤkɤtɯɣndʑici pjɤrɯkhɤcɤlndʑi	nɯ ɯmɯr ʑo tɕetɕe ɬɤndʐi ʁnɯz ni nɯnɯ sakaβ ɯrkɯ nɯtɕu li ɲɤkɤtɯɣndʑici pjɤrɯkhɤcɤlndʑi
tɕe nɯ qrose ŋu	tɕenɯ qrose ŋu
tɕe ɯsroʁ kɤri ra toti	tɕe ɯsroʁ kɤri ra toti
lutɯfsoʁ ʑo qhe tɯrɤma tuʑe ɲɯŋu	ɯtɯfsoʁ ʑo qhe tɯrɤma tuʑe
tɕe nɯnɯ stoʁ nɯ tɕe thamtham	tɕenɯ toʁ nɯnɯtɕe thamtham
tɕeri nɤkinɯ tɕandu nɯ kɯ rkoŋɟɤl nɯ kunɤzde pjɤŋu tɕe tɕendɤre	tɕeri nɤkinɯ tɕandu nɯkɯ rkoŋɟɤl kunɤzde pjɤŋu tɕetɕendɤre
ʁnɯtɤkhrɤz χsɯtɤkhrɤz jamar kɯtu tu	nɯnɯ ʁnɯtɤkhrɤz χsɯ ɯkhrɤt jamar tɯtutu
nɯ tɕu tɕe tɕendɤre	nɯtɕu tɕetɕendɤre
tonɯqambɯmbjom toɕe	tonɯqambɯmbjom toɕe
tɕe nɯnɯ túwɣɣɯɕkat tɕe ɯsno ɣɯ́ta mɯ́jra matɕi 	tɕe nɯnɯ túwɣɣɯɕkat tɕe ɯsno ɣɯt mɯ́jra matɕi
nɤki pɤjkhu nɯtɕu pjɤnnɯrŋgɯ	nɤki pɤjkhu nɯtɕu pjɤnnɯrŋgɯ
ɯmɤlɤjaʁ kɯnɤ ʑo ɲɯɣɯrni	ɯmɤlɤjaʁ ra kɯnɤ ʑo ɲɯɣɯrni
chɯɕe ɕɯŋgɯ tɕe	pɯɕe ɕɯŋgɯ tɕe
ʁnɯsŋi pjɤrɤʑinɯ tɕe tɕe nɯ ɯfsosoz nɯtɕu tɕe tɕendɤre nɤki	tɯsŋi pjɤrɤʑinɯ tɕetɕe nɯfsoʁ ɯsɤznɯɕɯɕe tɕendɤrenɤki
iɕqha tama ɯkɯβzu ra ɣɯ nɯkɯm nɯ tɕu jozɣɯtndʑi	iɕqha tama ɯkɯβzu ra ɣɯ nɯkɯm nɯtɕu jozɣɯtndʑi
nɯnɯ ra nɯ ɯŋgɯ li kɯmaʁ tɤmthɯm chɯrɤɣndinɯ tɕe	nɯnɯra nɯŋgɯ li kɯmaʁ tɤmthɯm chɯsɤɣnda nɯ tɕe
ɯmɯntoʁ li ɯmɯntoʁ ɣɯ ɯjwaʁ kɯfse nɯnɯ	ɯmɯntoʁ nɯnɯli ɯmɯntoʁ ɣɯ ɯjwaʁ kɯfse nɯnɯ
tɕe kɯndʑɤm ʑo mɤkɯsɤɕke mɤkɯmɯɕtaʁ túwɣndza tɕe tɕe ɲɯphɤn ma	tɕe kɯndʑɤm ʑo mɤsɤɕke m kɯmɯɕtaʁ túwɣndza tɕetɕe ɯphɤn
tɕendɤre taʁi nɯ kɯ ɯpi ɣɯ ɯsci tunɤmea ra ɲɤsɯso tɕe	tɕendɤre taʁi nɯkɯ ɯpi ɣɯ ɯsci tunɤmea ra ɲɤsɯso tɕe
chɤnɯɕe tɕe tɕendɤre	chɤnɯɕe tɕetɕendɤre
tɕendɤre nɤkinɯ	tɕendɤrenɤkinɯ
tɤtɕɯ nɯnɯ torɤŋgat tɕe tɕe chɤnɯɕe tɕe	tɤtɕɯ nɯnɯ torɤŋgat tɕetɕe chɤnɯɕe tɕe
kɯki nɤki qaliaʁ lɯlu phaʁrgot nɯra ɲɯŋu	kɯki nɤki qaliaʁ lɯlu
kutɕu kɤru ra toti tɤtɯŋgat ɯɲɯtɯnɤtsa kɯ kɤru ra totindʑi	kutɕu kɤru ra toti tɤtɕɯŋga ɯɲɯtɯnɤrtaʁ kɤru ra totindʑi
tɕe ɯri nɯ ɲɯ́wɣrɤɕi tɕe li chɯ́wɣsɤsɯɣ nɯ mŋurɯm tukɯti ŋu	tɕeri nɯ ɲɯ́wɣ rɤɕi tɕeli chɯ́wɣsɤsɯɣ tɕenɯ mŋurɯm tukɯti ŋu
tɕe nɯnɯ ɯtaʁ nɯtɕu chɯkɯnɯkhɤlɤmdzɯmdzɯ tɕe	tɕe nɯnɯ ɯtaʁ nɯtɕu chɯkɯnɯrku ldzɯɣldzɯɣ tɕe
tɕe ɯskɤt mɯ́jwxti khi ma nɯ tuti ɲɯŋu khi	tɕe ɯskɤt mɯ́jwxti khi manɯtɯti ɲɯŋu khi
matɕi χtɕɤnzɤn nɯra wuma ʑo ɲɯŋɤnnɯ tɕe rcanɯ	matɕe χtɕɤnzɤn nɯra wumaʑo ɲɯŋɤn tɕe rcanɯ
tɕekithaχtsa apɯŋu tɕe ɯmɯntoʁ ra tɕe	tɕeki thaχtsa tɤŋu tɕe ɯmɯntoʁ ra tɕetɕe
ɯʁar ra tosɤrphɤrphɤβ tɕe	ɯʁar ra tosɤrphɤrphɤβ tɕe
tɕe nɤkinɯ kɯɕɯŋgɯ tɕe sɯŋgi ci pjɤtu tɕe tongo	tɕe nɤkinɯ kɯɕɯŋɡɯtɕe sɯŋgi ci pjɤtu tɕe tongo
tumŋɤm ɯxɕɤt kɯ aʑo nɯ aku ɕɤrɯ pjɤɣɤtsɯr ɲɯŋu nɯsɯsota 	tɯmŋɤm ɯxɕɤt ɯʑo nɯku ɕɤrɯ pjɤɣɤχsrɯ ɯŋu sɤta
iɕqha mbraj cho sɤjku nɯra nɯtshɯɣa ɲɯfse	iɕqha mbraj cho sɤjku nɯra nɯtshɯɣa ɲɯfse
nɤrɟit jukɯsci tɤkɯrɤŋgat nɯ aɕki aʑɯɣ nɯkhɤm ra toti 	nɯrɟit kɯscit tɤkɯrɤŋgat nɯaʑo aɕki nɯkhɤm ra toti
apɯ́wɣɣɤjmŋo tɕe χsɯxpa nɯ kɯmɤɕi tutinɯ ɲɯŋu 	pɣɤjmŋ tɕe χsɯxpa nɯkɯm ɕi tutinɯ ɲɯŋu
tɤjwaʁ nɯra ɯdɯχɯn wuma ʑo mnɤm	tɤjwaʁ nɯra ɯdɯχɯn wumaʑo mnɤm
ɴɢoɕna kɯ karɣi nɯ junɯtsɯm tɕe kɯɬoʁ ɯspa ɲɯme ŋgrɤl tutinɯ ŋgrɤl ma	ɴɢoɕna karɣi nɯjukɯtsɯm tɕe kɯɬoʁ ɯspa ɲɯme ŋgrɤl tutinɯ ŋgrɤl ma
tɕe rŋɯl χsɤr rɯnbotɕhi nɯra ɲɤmbi	tɕendɤre rŋɯl χsɤr rɯnbotɕhi nɯra ɲɤmbi
torkɤz tɕendɤre koŋla tɯrme ɣɯ ɯxso tɯrme nɯ cho ɯtɯwxti kɯnaχtɕɯɣ jamar ci ʑo torkɤz tɕe rcanɯ 	tɕetu kɤɕe ndɤre koŋla tɯrme ɣɯsɯso tɯrme nɯkhonɯ wxti kɯnaχtɕɯɣ jamar iʑo torɤt rcanɯ
mɤʑɯ ɯβlu kɯpe ci tɤntɕhoz tɕe 	mɤʑɯ ɯβlu kɯpe ci tontɕhoz tɕe
tɕe tasɤmu nɯ tɕe tɕe ɯrqhu nɯ ɯsna tu	tɕe tasa nɯtɕu tɕe ɯrqhu nɯsta tu
wo qale nɤʑo qro tɯrdoʁ kɯnɯqambɯmbjom ɯpɯtɯmtot toti ri nɤki	wo qale nɤki nɤʑo qro tɯrdoʁ kɯnɯqambɯmbjom ɯpɯtɯmtot toti ri nɤki
