tʰi˩˥	tʰ i ˩˥  
le˧ʂæ˩	l e ˧ ʂ æ ˩  
le˧ʂæ˩zo˩	l e ˧ ʂ æ ˩ z o ˩  
le˧ʂɤ˩	l e ˧ ʂ ɤ ˩  
le˧ʂɯ˧dʑo˥	l e ˧ ʂ ɯ ˧ dʑ o ˥  
le˧ʂɯ˧dʑo˧	l e ˧ ʂ ɯ ˧ dʑ o ˧  
le˧ʂɯ˧hĩ˧gi˩dʑo˩	l e ˧ ʂ ɯ ˧ h ĩ ˧ g i ˩ dʑ o ˩  
le˧ʂɯ˧hĩ˧qo˩	l e ˧ ʂ ɯ ˧ h ĩ ˧ q o ˩  
le˧ʂɯ˧hĩ˧ʁo˧to˩dʑo˩	l e ˧ ʂ ɯ ˧ h ĩ ˧ ʁ o ˧ t o ˩ dʑ o ˩  
le˧ʂɯ˧ho˧ze˩	l e ˧ ʂ ɯ ˧ h o ˧ z e ˩  
le˧ʂɯ˧hɯ˧ze˧	l e ˧ ʂ ɯ ˧ h ɯ ˧ z e ˧  
le˧ʂɯ˧mɤ˧tʰɑ˧hĩ˧	l e ˧ ʂ ɯ ˧ m ɤ ˧ tʰ ɑ ˧ h ĩ ˧  
le˧ʂɯ˧se˥	l e ˧ ʂ ɯ ˧ s e ˥  
le˧ʂɯ˧se˩	l e ˧ ʂ ɯ ˧ s e ˩  
le˧ʂɯ˧tsɯ˥	l e ˧ ʂ ɯ ˧ ts ɯ ˥  
le˧ʂɯ˧ɲi˥	l e ˧ ʂ ɯ ˧ ɲ i ˥  
le˧ʂɯ˧ɲi˥ze˩mæ˩	l e ˧ ʂ ɯ ˧ ɲ i ˥ z e ˩ m æ ˩  
le˧ʂɯ˧ʂɯ˧	l e ˧ ʂ ɯ ˧ ʂ ɯ ˧  
le˧ʈɤ˥ʈɤ˩	l e ˧ ʈ ɤ ˥ ʈ ɤ ˩  
le˧ʈɤ˧kwɤ˧tɕɯ˥lɑ˩	l e ˧ ʈ ɤ ˧ k wɤ ˧ tɕ ɯ ˥ l ɑ ˩  
le˧ʈɤ˧po˧hɯ˥tsɯ˩	l e ˧ ʈ ɤ ˧ p o ˧ h ɯ ˥ ts ɯ ˩  
le˧ʈʂæ˧	l e ˧ ʈʂ æ ˧  
le˧ʈʂɤ˧zo˩	l e ˧ ʈʂ ɤ ˧ z o ˩  
le˧ʈʂɯ˩hĩ˩	l e ˧ ʈʂ ɯ ˩ h ĩ ˩  
le˧ʈʂʰo˧se˥dʑo˩	l e ˧ ʈʂʰ o ˧ s e ˥ dʑ o ˩  
le˧ʈʂʰo˧se˩kwɤ˩tɕɯ˩lɑ˩	l e ˧ ʈʂʰ o ˧ s e ˩ k wɤ ˩ tɕ ɯ ˩ l ɑ ˩  
le˧ʈʂʰv̩˩se˩dʑo˩	l e ˧ ʈʂʰ v̩ ˩ s e ˩ dʑ o ˩  
le˧ʈʂʰwæ˧kv̩˥pʰæ˩di˩	l e ˧ ʈʂʰ wæ ˧ k v̩ ˥ pʰ æ ˩ d i ˩  
le˧ʈʂʰæ˥dʑo˩	l e ˧ ʈʂʰ æ ˥ dʑ o ˩  
le˧ʈʂʰæ˧	l e ˧ ʈʂʰ æ ˧  
le˧ʈʂʰæ˧ʈʂʰæ˧kʰɯ˩	l e ˧ ʈʂʰ æ ˧ ʈʂʰ æ ˧ kʰ ɯ ˩  
le˧ʈʂʰæ˧ʈʂʰæ˧se˥dʑo˩	l e ˧ ʈʂʰ æ ˧ ʈʂʰ æ ˧ s e ˥ dʑ o ˩  
le˧ʈʂʰɤ˩	l e ˧ ʈʂʰ ɤ ˩  
le˧ʈʰ	l e ˧ ʈʰ  
le˧ʈʰi˩	l e ˧ ʈʰ i ˩  
le˧ʈʰi˩kwɤ˩tɕɯ˩lɑ˩	l e ˧ ʈʰ i ˩ k wɤ ˩ tɕ ɯ ˩ l ɑ ˩  
le˧ʈʰæ˧po˧hɯ˥ze˩	l e ˧ ʈʰ æ ˧ p o ˧ h ɯ ˥ z e ˩  
le˧ʈʰæ˧ɲi˥	l e ˧ ʈʰ æ ˧ ɲ i ˥  
le˧ʈʰæ˧ɲi˥tsɯ˩	l e ˧ ʈʰ æ ˧ ɲ i ˥ ts ɯ ˩  
le˧ʈʰæ˧˥	l e ˧ ʈʰ æ ˧˥  
le˧ʈʰɯ˩	l e ˧ ʈʰ ɯ ˩  
le˧ʈʰɯ˩kwɤ˩tɕɯ˩lɑ˩	l e ˧ ʈʰ ɯ ˩ k wɤ ˩ tɕ ɯ ˩ l ɑ ˩  
le˧ʈʰɯ˩pi˩zo˩	l e ˧ ʈʰ ɯ ˩ p i ˩ z o ˩  
le˧ʈʰɯ˩zo˩	l e ˧ ʈʰ ɯ ˩ z o ˩  
le˧ʐv̩˧zo˥	l e ˧ ʐ v̩ ˧ z o ˥  
le˧ʐv̩˧ʐv̩˥	l e ˧ ʐ v̩ ˧ ʐ v̩ ˥  
le˧ʐv̩˧˥	l e ˧ ʐ v̩ ˧˥  
le˧ʐwæ˧se˥	l e ˧ ʐ wæ ˧ s e ˥  
le˧ʐwæ˧˥	l e ˧ ʐ wæ ˧˥  
le˧ʐwæ˩	l e ˧ ʐ wæ ˩  
le˧ʐwæ˩ze˩	l e ˧ ʐ wæ ˩ z e ˩  
le˧ʐwæ˩ʐwæ˩se˩	l e ˧ ʐ wæ ˩ ʐ wæ ˩ s e ˩  
le˧ʐwɤ˥ʐwɤ˩	l e ˧ ʐ wɤ ˥ ʐ wɤ ˩  
le˧ʐwɤ˩dʑo˩	l e ˧ ʐ wɤ ˩ dʑ o ˩  
le˧ʐwɤ˩kv̩˩ze˩tsɯ˩	l e ˧ ʐ wɤ ˩ k v̩ ˩ z e ˩ ts ɯ ˩  
le˧ʐwɤ˩zo˩	l e ˧ ʐ wɤ ˩ z o ˩  
le˧ʐɤ˧zo˩	l e ˧ ʐ ɤ ˧ z o ˩  
le˧ʑi˧po˧hɯ˥	l e ˧ ʑ i ˧ p o ˧ h ɯ ˥  
le˧ʑi˧ŋv̩˥dʑo˩	l e ˧ ʑ i ˧ ŋ v̩ ˥ dʑ o ˩  
le˧ʑi˩bi˩	l e ˧ ʑ i ˩ b i ˩  
le˧ʑi˩kwɤ˩tɕɯ˩lɑ˩	l e ˧ ʑ i ˩ k wɤ ˩ tɕ ɯ ˩ l ɑ ˩  
le˧ʑi˩ɻ̍˩	l e ˧ ʑ i ˩ ɻ̍ ˩  
le˧ʝi˥zo˩	l e ˧ ʝ i ˥ z o ˩  
le˧ʝi˧bi˧	l e ˧ ʝ i ˧ b i ˧  
le˧ʝi˧dʑɯ˧ze˩pi˩kv̩˩mæ˩	l e ˧ ʝ i ˧ dʑ ɯ ˧ z e ˩ p i ˩ k v̩ ˩ m æ ˩  
le˧ʝi˩se˩dʑo˩	l e ˧ ʝ i ˩ s e ˩ dʑ o ˩  
le˧ʝi˩ʝi˩ze˩	l e ˧ ʝ i ˩ ʝ i ˩ z e ˩  
le˩dʑo˩	l e ˩ dʑ o ˩  
le˩gv̩˩hĩ˩	l e ˩ g v̩ ˩ h ĩ ˩  
le˩hɯ˩dʑo˩	l e ˩ h ɯ ˩ dʑ o ˩  
le˩jo˩kv̩˩mæ˩	l e ˩ jo ˩ k v̩ ˩ m æ ˩  
le˩po˩jo˩	l e ˩ p o ˩ jo ˩  
le˩po˩jo˩kv̩˩mæ˩	l e ˩ p o ˩ jo ˩ k v̩ ˩ m æ ˩  
le˩po˩ʝi˩ʝi˩ze˩	l e ˩ p o ˩ ʝ i ˩ ʝ i ˩ z e ˩  
le˩tsʰɤ˩	l e ˩ tsʰ ɤ ˩  
le˩tsʰɯ˩ɲi˥ze˩mæ˩	l e ˩ tsʰ ɯ ˩ ɲ i ˥ z e ˩ m æ ˩  
le˩ʈʂʰæ˩	l e ˩ ʈʂʰ æ ˩  
le˩ʝi˩ʝi˩ze˩	l e ˩ ʝ i ˩ ʝ i ˩ z e ˩  
li	l i  
li˧hɯ˧	l i ˧ h ɯ ˧  
li˧hɯ˧ɲi˥	l i ˧ h ɯ ˧ ɲ i ˥  
li˧hɯ˧ɲi˥tsɯ˩	l i ˧ h ɯ ˧ ɲ i ˥ ts ɯ ˩  
li˧mɤ˧ɖo˧	l i ˧ m ɤ ˧ ɖ o ˧  
li˧tsʰɯ˩ze˩	l i ˧ tsʰ ɯ ˩ z e ˩  
li˩kʰɤ˧	l i ˩ kʰ ɤ ˧  
li˩læ˩˥	l i ˩ l æ ˩˥  
li˩mɤ˩dʑo˩˥	l i ˩ m ɤ ˩ dʑ o ˩˥  
li˩qʰwɤ˥	l i ˩ qʰ wɤ ˥  
li˩ʈʰɯ˩di˩	l i ˩ ʈʰ ɯ ˩ d i ˩  
ljɤljɤ	l jɤ l jɤ  
ljɤ˧qo˥ɳɯ˩	l jɤ ˧ q o ˥ ɳ ɯ ˩  
lo˧dzɑ˧	l o ˧ dz ɑ ˧  
lo˧gv̩˩hĩ˩	l o ˧ g v̩ ˩ h ĩ ˩  
lo˧gv̩˩hĩ˩bv̩˩ɲi˩tsɯ˩zo˩	l o ˧ g v̩ ˩ h ĩ ˩ b v̩ ˩ ɲ i ˩ ts ɯ ˩ z o ˩  
lo˧gv̩˩lɑ˩	l o ˧ g v̩ ˩ l ɑ ˩  
lo˧hɑ˧	l o ˧ h ɑ ˧  
lo˧lo˧ɳɯ˧	l o ˧ l o ˧ ɳ ɯ ˧  
lo˧pæ˧mv̩˧ʈʂæ˧˥	l o ˧ p æ ˧ m v̩ ˧ ʈʂ æ ˧˥  
lo˧qo˧dʑo˩	l o ˧ q o ˧ dʑ o ˩  
lo˧qo˧lɑ˧	l o ˧ q o ˧ l ɑ ˧  
lo˧qo˧mv̩˧	l o ˧ q o ˧ m v̩ ˧  
lo˧qo˧ɳɯ˧	l o ˧ q o ˧ ɳ ɯ ˧  
lo˧sæ˧	l o ˧ s æ ˧  
lo˧ʂv̩˩ɳɯ˩	l o ˧ ʂ v̩ ˩ ɳ ɯ ˩  
lo˧ʝi˧ʈʂʰɯ˧dʑo˩	l o ˧ ʝ i ˧ ʈʂʰ ɯ ˧ dʑ o ˩  
lo˩pv̩˧	l o ˩ p v̩ ˧  
lo˩pv̩˧˥	l o ˩ p v̩ ˧˥  
lo˩qʰwɤ˥	l o ˩ qʰ wɤ ˥  
lo˩qʰwɤ˧	l o ˩ qʰ wɤ ˧  
lv̩˥ɲi˩kv̩˩	l v̩ ˥ ɲ i ˩ k v̩ ˩  
lv̩˧lɑ˧	l v̩ ˧ l ɑ ˧  
lv̩˧mi˧	l v̩ ˧ m i ˧  
lv̩˧tʰɑ˧bi˧	l v̩ ˧ tʰ ɑ ˧ b i ˧  
lv̩˩hɯ˩dʑo˩	l v̩ ˩ h ɯ ˩ dʑ o ˩  
lv̩˩ɲi˥	l v̩ ˩ ɲ i ˥  
lv̩˩ʝi˥kv̩˩mæ˩	l v̩ ˩ ʝ i ˥ k v̩ ˩ m æ ˩  
læ˧	l æ ˧  
lɑ˥	l ɑ ˥  
lɑ˥lɑ˩zo˩	l ɑ ˥ l ɑ ˩ z o ˩  
lɑ˥ɲi˩mæ˩	l ɑ ˥ ɲ i ˩ m æ ˩  
lɑ˧dʑo˧	l ɑ ˧ dʑ o ˧  
lɑ˧kʰv̩˧ɲi˥	l ɑ ˧ kʰ v̩ ˧ ɲ i ˥  
lɑ˧lɑ˧	l ɑ ˧ l ɑ ˧  
lɑ˧mæ˧qv̩˩ʈʂʰɯ˩ɳɯ˩	l ɑ ˧ m æ ˧ q v̩ ˩ ʈʂʰ ɯ ˩ ɳ ɯ ˩  
lɑ˧tʰɑ˧di˧ɳɯ˥	l ɑ ˧ tʰ ɑ ˧ d i ˧ ɳ ɯ ˥  
lɑ˧tʰɑ˧mi˧ɻ̍˧pi˥	l ɑ ˧ tʰ ɑ ˧ m i ˧ ɻ̍ ˧ p i ˥  
lɑ˧ŋwɤ˧hĩ˧	l ɑ ˧ ŋ wɤ ˧ h ĩ ˧  
lɑ˧ɬɑ˧˥	l ɑ ˧ ɬ ɑ ˧˥  
lɑ˧ʈʂʰɯ˧	l ɑ ˧ ʈʂʰ ɯ ˧  
lɑ˧ʈʂʰɯ˧dʑo˩	l ɑ ˧ ʈʂʰ ɯ ˧ dʑ o ˩  
lɑ˧ʈʂʰɯ˧ɳɯ˩	l ɑ ˧ ʈʂʰ ɯ ˧ ɳ ɯ ˩  
lɑ˧ʈʂʰɯ˧ɳɯ˩dʑo˩	l ɑ ˧ ʈʂʰ ɯ ˧ ɳ ɯ ˩ dʑ o ˩  
lɑ˧˥	l ɑ ˧˥  
lɑ˩hĩ˩tʰv̩˩	l ɑ ˩ h ĩ ˩ tʰ v̩ ˩  
lɑ˩kv̩˩	l ɑ ˩ k v̩ ˩  
lɑ˩kwɤ˩tɕɯ˩lɑ˩	l ɑ ˩ k wɤ ˩ tɕ ɯ ˩ l ɑ ˩  
lɑ˩ze˩	l ɑ ˩ z e ˩  
m	m  
mi˧le˧tsʰɯ˧ɲi˥tsɯ˩	m i ˧ l e ˧ tsʰ ɯ ˧ ɲ i ˥ ts ɯ ˩  
mi˧le˧tsʰɯ˧˥	m i ˧ l e ˧ tsʰ ɯ ˧˥  
mi˧tʰv̩˧	m i ˧ tʰ v̩ ˧  
mi˩	m i ˩  
mi˩zɯ˩	m i ˩ z ɯ ˩  
mi˩zɯ˩ɳɯ˥	m i ˩ z ɯ ˩ ɳ ɯ ˥  
mmm…n	mmm… n  
mo˥hĩ˩dʑo˩	m o ˥ h ĩ ˩ dʑ o ˩  
mo˥hĩ˩ki˩	m o ˥ h ĩ ˩ k i ˩  
mo˥hĩ˩ni˩gv̩˩mæ˩	m o ˥ h ĩ ˩ n i ˩ g v̩ ˩ m æ ˩  
mo˥hĩ˩ʈʂʰɯ˩	m o ˥ h ĩ ˩ ʈʂʰ ɯ ˩  
mo˥ɻæ˩ɳɯ˩	m o ˥ ɻ æ ˩ ɳ ɯ ˩  
mo˧	m o ˧  
mo˧bv̩˥	m o ˧ b v̩ ˥  
mo˧dʑɯ˥	m o ˧ dʑ ɯ ˥  
mo˧pi˥kv̩˩mæ˩	m o ˧ p i ˥ k v̩ ˩ m æ ˩  
mo˧qʰwɤ˥	m o ˧ qʰ wɤ ˥  
mo˧qʰwɤ˧zo˥	m o ˧ qʰ wɤ ˧ z o ˥  
mo˧ɖʐv̩˥	m o ˧ ɖʐ v̩ ˥  
mo˧ɖʐv̩˥lɑ˩	m o ˧ ɖʐ v̩ ˥ l ɑ ˩  
mo˧ɖʐv̩˥ne˩ʝi˩zo˩	m o ˧ ɖʐ v̩ ˥ n e ˩ ʝ i ˩ z o ˩  
mo˧ɖʐv̩˥ʈʂʰɯ˩	m o ˧ ɖʐ v̩ ˥ ʈʂʰ ɯ ˩  
mo˧ɲi˥	m o ˧ ɲ i ˥  
mo˩kv̩˧bv̩˧	m o ˩ k v̩ ˧ b v̩ ˧  
mo˩kv̩˧tʰv̩˧dʑo˩	m o ˩ k v̩ ˧ tʰ v̩ ˧ dʑ o ˩  
mo˩kv̩˧ʈʂʰɯ˧	m o ˩ k v̩ ˧ ʈʂʰ ɯ ˧  
mo˩kv̩˧ʈʂʰɯ˧dʑo˩	m o ˩ k v̩ ˧ ʈʂʰ ɯ ˧ dʑ o ˩  
mo˩zo˧	m o ˩ z o ˧  
mo˩ɻ̍˥lɑ˩	m o ˩ ɻ̍ ˥ l ɑ ˩  
mo˩ʝi˩	m o ˩ ʝ i ˩  
mv̩˥	m v̩ ˥  
mv̩˥hĩ˩ki˩	m v̩ ˥ h ĩ ˩ k i ˩  
mv̩˥ʈʂæ˩	m v̩ ˥ ʈʂ æ ˩  
mv̩˥ʈʂæ˩kv̩˩mæ˩	m v̩ ˥ ʈʂ æ ˩ k v̩ ˩ m æ ˩  
mv̩˧d	m v̩ ˧ d  
mv̩˧di˧qo˥dʑo˩	m v̩ ˧ d i ˧ q o ˥ dʑ o ˩  
mv̩˧di˧˥	m v̩ ˧ d i ˧˥  
mv̩˧dze˧ʈʂʰɯ˧	m v̩ ˧ dz e ˧ ʈʂʰ ɯ ˧  
mv̩˧gv̩˧	m v̩ ˧ g v̩ ˧  
mv̩˧kv̩˧˥	m v̩ ˧ k v̩ ˧˥  
mv̩˧kʰɯ˧˥	m v̩ ˧ kʰ ɯ ˧˥  
mv̩˧lɯ˩	m v̩ ˧ l ɯ ˩  
mv̩˧zo	m v̩ ˧ z o  
mv̩˧ɭɯ˩dʑo˩	m v̩ ˧ ɭ ɯ ˩ dʑ o ˩  
mv̩˧ɭɯ˩lɑ˩	m v̩ ˧ ɭ ɯ ˩ l ɑ ˩  
mv̩˧ɭɯ˩sɯ˩pʰi˩bv̩˩	m v̩ ˧ ɭ ɯ ˩ s ɯ ˩ pʰ i ˩ b v̩ ˩  
mv̩˧ɭɯ˩sɯ˩pʰi˩ɳɯ˩	m v̩ ˧ ɭ ɯ ˩ s ɯ ˩ pʰ i ˩ ɳ ɯ ˩  
mv̩˧ʁo˧	m v̩ ˧ ʁ o ˧  
mv̩˧ʁo˧ɻ̍˥dʑo˩	m v̩ ˧ ʁ o ˧ ɻ̍ ˥ dʑ o ˩  
mv̩˧ʂɯ˧kwɤ˧tɕɯ˥lɑ˩	m v̩ ˧ ʂ ɯ ˧ k wɤ ˧ tɕ ɯ ˥ l ɑ ˩  
mv̩˧ʈʂæ˧kv̩˥tsɯ˩	m v̩ ˧ ʈʂ æ ˧ k v̩ ˥ ts ɯ ˩  
mv̩˧ʈʂæ˧˥	m v̩ ˧ ʈʂ æ ˧˥  
mv̩˧ʈʰæ˧ʈæ˧qo˧	m v̩ ˧ ʈʰ æ ˧ ʈ æ ˧ q o ˧  
mv̩˧ʈʰæ˧ʈʂʰɯ˧	m v̩ ˧ ʈʰ æ ˧ ʈʂʰ ɯ ˧  
mv̩˧ʈʰæ˧˥	m v̩ ˧ ʈʰ æ ˧˥  
mv̩˩do˩bi˩zo˩kv̩˥	m v̩ ˩ d o ˩ b i ˩ z o ˩ k v̩ ˥  
mv̩˩dzɤ˧	m v̩ ˩ dz ɤ ˧  
mv̩˩gɤ˧	m v̩ ˩ g ɤ ˧  
mv̩˩hĩ˩	m v̩ ˩ h ĩ ˩  
mv̩˩kʰɯ˩kv̩˩mæ˩	m v̩ ˩ kʰ ɯ ˩ k v̩ ˩ m æ ˩  
mv̩˩lo˥ʝi˩ʈʂʰɯ˩dʑo˩	m v̩ ˩ l o ˥ ʝ i ˩ ʈʂʰ ɯ ˩ dʑ o ˩  
mv̩˩mɤ˩tʰɑ˥	m v̩ ˩ m ɤ ˩ tʰ ɑ ˥  
mv̩˩pʰæ˧dʑo˩	m v̩ ˩ pʰ æ ˧ dʑ o ˩  
mv̩˩pʰæ˧pi˧	m v̩ ˩ pʰ æ ˧ p i ˧  
mv̩˩pʰæ˧ɳɯ˧	m v̩ ˩ pʰ æ ˧ ɳ ɯ ˧  
mv̩˩sɯ˧njɤ˧ki˥	m v̩ ˩ s ɯ ˧ n jɤ ˧ k i ˥  
mv̩˩sɯ˧njɤ˧ɳɯ˥	m v̩ ˩ s ɯ ˧ n jɤ ˧ ɳ ɯ ˥  
mv̩˩sɯ˧njɤ˧ʈʂʰɯ˥dʑo˩	m v̩ ˩ s ɯ ˧ n jɤ ˧ ʈʂʰ ɯ ˥ dʑ o ˩  
mv̩˩sɯ˧njɤ˧˥	m v̩ ˩ s ɯ ˧ n jɤ ˧˥  
mv̩˩tsʰo˩	m v̩ ˩ tsʰ o ˩  
mv̩˩tsʰo˩˥	m v̩ ˩ tsʰ o ˩˥  
mv̩˩tɕi˥dʑo˩	m v̩ ˩ tɕ i ˥ dʑ o ˩  
mv̩˩tʰɑ˩ze˩	m v̩ ˩ tʰ ɑ ˩ z e ˩  
mv̩˩zo˩ki˥	m v̩ ˩ z o ˩ k i ˥  
mv̩˩zo˩ɻæ˥	m v̩ ˩ z o ˩ ɻ æ ˥  
mv̩˩zo˩ɻæ˩lɑ˥	m v̩ ˩ z o ˩ ɻ æ ˩ l ɑ ˥  
mv̩˩zɯ˩	m v̩ ˩ z ɯ ˩  
mv̩˩zɯ˩mo˩nɑ˥	m v̩ ˩ z ɯ ˩ m o ˩ n ɑ ˥  
mv̩˩zɯ˩ni˥mi˩	m v̩ ˩ z ɯ ˩ n i ˥ m i ˩  
mv̩˩zɯ˩ni˥mi˩bv̩˩	m v̩ ˩ z ɯ ˩ n i ˥ m i ˩ b v̩ ˩  
mv̩˩zɯ˩ni˥mi˩ɻæ˩	m v̩ ˩ z ɯ ˩ n i ˥ m i ˩ ɻ æ ˩  
mv̩˩zɯ˩ʈʂʰɯ˥	m v̩ ˩ z ɯ ˩ ʈʂʰ ɯ ˥  
mv̩˩zɯ˩ʝi˥hĩ˩	m v̩ ˩ z ɯ ˩ ʝ i ˥ h ĩ ˩  
mv̩˩ɖɯ˩ɳɯ˥	m v̩ ˩ ɖ ɯ ˩ ɳ ɯ ˥  
mv̩˩ɖɯ˩˥	m v̩ ˩ ɖ ɯ ˩˥  
mv̩˩ɬi˧	m v̩ ˩ ɬ i ˧  
mv̩˩ɳɯ˩	m v̩ ˩ ɳ ɯ ˩  
mv̩˩ʈʂæ˩	m v̩ ˩ ʈʂ æ ˩  
mv̩˩ʈʂæ˩hĩ˩ʈʂʰɯ˩dʑo˩	m v̩ ˩ ʈʂ æ ˩ h ĩ ˩ ʈʂʰ ɯ ˩ dʑ o ˩  
mv̩˩ʈʂæ˩kv̩˩mæ˩	m v̩ ˩ ʈʂ æ ˩ k v̩ ˩ m æ ˩  
mv̩˩ʈʂæ˩kv̩˩tsɯ˩	m v̩ ˩ ʈʂ æ ˩ k v̩ ˩ ts ɯ ˩  
mv̩˩ʈʂæ˩ɲi˩	m v̩ ˩ ʈʂ æ ˩ ɲ i ˩  
mv̩˩ʈʂæ˩ɲi˩kv̩˩tsɯ˩	m v̩ ˩ ʈʂ æ ˩ ɲ i ˩ k v̩ ˩ ts ɯ ˩  
mæ˥bi˩	m æ ˥ b i ˩  
mæ˧qv̩˩	m æ ˧ q v̩ ˩  
mæ˧qv̩˩sɯ˩	m æ ˧ q v̩ ˩ s ɯ ˩  
mæ˧ɻæ˩	m æ ˧ ɻ æ ˩  
mæ˩zo˩kv̩˩	m æ ˩ z o ˩ k v̩ ˩  
mɑ˩pv̩˩ɳɯ˥	m ɑ ˩ p v̩ ˩ ɳ ɯ ˥  
mɑ˩pv̩˩˥	m ɑ ˩ p v̩ ˩˥  
mɤ˧di˥	m ɤ ˧ d i ˥  
mɤ˧di˥zo˩	m ɤ ˧ d i ˥ z o ˩  
mɤ˧di˩	m ɤ ˧ d i ˩  
mɤ˧do˧ze˥	m ɤ ˧ d o ˧ z e ˥  
mɤ˧do˩mæ˩	m ɤ ˧ d o ˩ m æ ˩  
mɤ˧do˩zo˩	m ɤ ˧ d o ˩ z o ˩  
mɤ˧dv̩˥ze˩	m ɤ ˧ d v̩ ˥ z e ˩  
mɤ˧dv̩˩	m ɤ ˧ d v̩ ˩  
mɤ˧dzɯ˧	m ɤ ˧ dz ɯ ˧  
mɤ˧dzɯ˧sɯ˥	m ɤ ˧ dz ɯ ˧ s ɯ ˥  
mɤ˧dɑ˩	m ɤ ˧ d ɑ ˩  
mɤ˧dɑ˩mi˩jɤ	m ɤ ˧ d ɑ ˩ m i ˩ jɤ  
mɤ˧dɑ˩mi˩lɑ˩	m ɤ ˧ d ɑ ˩ m i ˩ l ɑ ˩  
mɤ˧dɑ˩qʰwɤ˩hĩ˩	m ɤ ˧ d ɑ ˩ qʰ wɤ ˩ h ĩ ˩  
mɤ˧dʑo˧hĩ˥	m ɤ ˧ dʑ o ˧ h ĩ ˥  
mɤ˧dʑo˧kwɤ˧tɕɯ˥lɑ˩	m ɤ ˧ dʑ o ˧ k wɤ ˧ tɕ ɯ ˥ l ɑ ˩  
mɤ˧dʑo˧ɲi˥tskv̩˩tsɯ˩	m ɤ ˧ dʑ o ˧ ɲ i ˥ ts k v̩ ˩ ts ɯ ˩  
mɤ˧dʑo˧ɲi˥ze˩	m ɤ ˧ dʑ o ˧ ɲ i ˥ z e ˩  
mɤ˧dʑo˧ɲi˥ze˩mæ˩	m ɤ ˧ dʑ o ˧ ɲ i ˥ z e ˩ m æ ˩  
mɤ˧dʑo˩ze˩mæ˩	m ɤ ˧ dʑ o ˩ z e ˩ m æ ˩  
mɤ˧dʑo˩ɲi˩mæ˩	m ɤ ˧ dʑ o ˩ ɲ i ˩ m æ ˩  
mɤ˧dʑo˩ɲi˩ze˩mæ˩	m ɤ ˧ dʑ o ˩ ɲ i ˩ z e ˩ m æ ˩  
mɤ˧dʑɤ˩pi˩ɲi˩ze˩mæ˩	m ɤ ˧ dʑ ɤ ˩ p i ˩ ɲ i ˩ z e ˩ m æ ˩  
mɤ˧dʑɤ˩ɲi˩	m ɤ ˧ dʑ ɤ ˩ ɲ i ˩  
mɤ˧dʑɯ˧	m ɤ ˧ dʑ ɯ ˧  
mɤ˧fv̩˧zo˩	m ɤ ˧ f v̩ ˧ z o ˩  
mɤ˧fv̩˧ɲi˥kv̩˩tsɯ˩	m ɤ ˧ f v̩ ˧ ɲ i ˥ k v̩ ˩ ts ɯ ˩  
mɤ˧go˩	m ɤ ˧ g o ˩  
mɤ˧go˩tsɯ˩	m ɤ ˧ g o ˩ ts ɯ ˩  
mɤ˧gv̩˧dʑo˧	m ɤ ˧ g v̩ ˧ dʑ o ˧  
mɤ˧gv̩˧sɯ˩	m ɤ ˧ g v̩ ˧ s ɯ ˩  
mɤ˧hĩ˧˥	m ɤ ˧ h ĩ ˧˥  
mɤ˧ho˥	m ɤ ˧ h o ˥  
mɤ˧ho˩	m ɤ ˧ h o ˩  
mɤ˧hwæ˧ɲi˥	m ɤ ˧ h wæ ˧ ɲ i ˥  
mɤ˧hɤ˩ɲi˩mæ˩	m ɤ ˧ h ɤ ˩ ɲ i ˩ m æ ˩  
mɤ˧hɯ˧	m ɤ ˧ h ɯ ˧  
mɤ˧jɤ˧	m ɤ ˧ jɤ ˧  
mɤ˧jɤ˧tsɯlɑ	m ɤ ˧ jɤ ˧ ts ɯ l ɑ  
mɤ˧ki˧dʑo˧	m ɤ ˧ k i ˧ dʑ o ˧  
mɤ˧kv̩˧	m ɤ ˧ k v̩ ˧  
mɤ˧kv̩˧ze˥	m ɤ ˧ k v̩ ˧ z e ˥  
mɤ˧kv̩˩hĩ˩	m ɤ ˧ k v̩ ˩ h ĩ ˩  
mɤ˧kʰɯ˧˥	m ɤ ˧ kʰ ɯ ˧˥  
mɤ˧ni˩ni˩hĩ˩	m ɤ ˧ n i ˩ n i ˩ h ĩ ˩  
mɤ˧nɑ˩	m ɤ ˧ n ɑ ˩  
mɤ˧po˧se˥	m ɤ ˧ p o ˧ s e ˥  
mɤ˧pʰv̩˧ɖɯ˧hĩ˥	m ɤ ˧ pʰ v̩ ˧ ɖ ɯ ˧ h ĩ ˥  
mɤ˧qʰæ˧hĩ˧ʈʂʰɯ˧	m ɤ ˧ qʰ æ ˧ h ĩ ˧ ʈʂʰ ɯ ˧  
mɤ˧qʰæ˩	m ɤ ˧ qʰ æ ˩  
mɤ˧sɯ˥dʑo˩	m ɤ ˧ s ɯ ˥ dʑ o ˩  
mɤ˧sɯ˥ze˩mæ˩	m ɤ ˧ s ɯ ˥ z e ˩ m æ ˩  
mɤ˧sɯ˧hĩ˧ki˧	m ɤ ˧ s ɯ ˧ h ĩ ˧ k i ˧  
mɤ˧sɯ˧sɯ˥	m ɤ ˧ s ɯ ˧ s ɯ ˥  
mɤ˧sɯ˧ɲi˥ze˩mæ˩	m ɤ ˧ s ɯ ˧ ɲ i ˥ z e ˩ m æ ˩  
mɤ˧ti˩	m ɤ ˧ t i ˩  
