Reference	Prediction	Ref_char	Pred_char	F_score_char	Precision_char	Recall_char	Lev_dist_char
tɕe nɯ ɕtonɯɴqhu tɕe tɕendɤre	tɕe nɯ ɕtonɯɴqhu tɕe tɕendɤre	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'ɕ', 't', 'o', 'n', 'ɯ', 'ɴ', 'q', 'h', 'u', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e']	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'ɕ', 't', 'o', 'n', 'ɯ', 'ɴ', 'q', 'h', 'u', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e']	1.0	1.0	1.0	1.0
kɯmɯɕtaʁ túwɣndza ɲɯsna túwɣnɯxsɯr ɲɯsna	kɯmɯɕtaʁ túwɣndza ɲɯsna túwɣnɯxsɯr ɲɯsna	['k', 'ɯ', 'm', 'ɯ', 'ɕ', 't', 'a', 'ʁ', 'S', 't', 'u', '́', 'w', 'ɣ', 'n', 'd', 'z', 'a', 'S', 'ɲ', 'ɯ', 's', 'n', 'a', 'S', 't', 'u', '́', 'w', 'ɣ', 'n', 'ɯ', 'x', 's', 'ɯ', 'r', 'S', 'ɲ', 'ɯ', 's', 'n', 'a']	['k', 'ɯ', 'm', 'ɯ', 'ɕ', 't', 'a', 'ʁ', 'S', 't', 'u', '́', 'w', 'ɣ', 'n', 'd', 'z', 'a', 'S', 'ɲ', 'ɯ', 's', 'n', 'a', 'S', 't', 'u', '́', 'w', 'ɣ', 'n', 'ɯ', 'x', 's', 'ɯ', 'r', 'S', 'ɲ', 'ɯ', 's', 'n', 'a']	1.0	1.0	1.0	1.0
mɤt mɤkɯnɤrʑaʁ tɕe nɯ kɤndʑɯxtɤɣ χsɯm joɣinɯ	mɤkɯnɤrʑaʁ tɕe nɯ kɤndʑɯxtɤɣ χsɯm joɣinɯ	['m', 'ɤ', 't', 'S', 'm', 'ɤ', 'k', 'ɯ', 'n', 'ɤ', 'r', 'ʑ', 'a', 'ʁ', 'S', 't', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'k', 'ɤ', 'n', 'd', 'ʑ', 'ɯ', 'x', 't', 'ɤ', 'ɣ', 'S', 'χ', 's', 'ɯ', 'm', 'S', 'j', 'o', 'ɣ', 'i', 'n', 'ɯ']	['m', 'ɤ', '*', '*', '*', '*', 'k', 'ɯ', 'n', 'ɤ', 'r', 'ʑ', 'a', 'ʁ', 'S', 't', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'k', 'ɤ', 'n', 'd', 'ʑ', 'ɯ', 'x', 't', 'ɤ', 'ɣ', 'S', 'χ', 's', 'ɯ', 'm', 'S', 'j', 'o', 'ɣ', 'i', 'n', 'ɯ']	0.927	0.955	0.953	0.9518072289156626
tɕe nɯra kɯmpɕɤr ŋu nɤ́ma	tɕe nɯra kɯmpɕɤr ŋu nɤ ma	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'k', 'ɯ', 'm', 'p', 'ɕ', 'ɤ', 'r', 'S', 'ŋ', 'u', 'S', 'n', 'ɤ', '́', 'm', 'a']	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'k', 'ɯ', 'm', 'p', 'ɕ', 'ɤ', 'r', 'S', 'ŋ', 'u', 'S', 'n', 'ɤ', 'S', 'm', 'a']	0.926	0.987	0.933	0.9795918367346939
tɕendɤre yilisha kɯ wuma ʑo pjɤz ɯsni pjɤzdɯɣ	tɕendɤre yilisha kɯ wuma ʑo pjɤɯsni pjɤzdɯɣ	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'y', 'i', 'l', 'i', 's', 'h', 'a', 'S', 'k', 'ɯ', 'S', 'w', 'u', 'm', 'a', 'S', 'ʑ', 'o', 'S', 'p', 'j', 'ɤ', 'z', 'S', 'ɯ', 's', 'n', 'i', 'S', 'p', 'j', 'ɤ', 'z', 'd', 'ɯ', 'ɣ']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'y', 'i', 'l', 'i', 's', 'h', 'a', 'S', 'k', 'ɯ', 'S', 'w', 'u', 'm', 'a', 'S', 'ʑ', 'o', 'S', 'p', 'j', 'ɤ', '*', '*', 'ɯ', 's', 'n', 'i', 'S', 'p', 'j', 'ɤ', 'z', 'd', 'ɯ', 'ɣ']	0.946	0.962	0.975	0.9770114942528736
tɕe pjɯχsuj pɯŋu ri maka ɯrgu ɲɯsɯ ma maka ɕɤŋi nɯ nɤki ɯɲɤm kɯkhe nɯ kɯndɯndɯβ zɯmzɯm pjɯ́wɣβzu ʑo pjɯ́wɣrɤkrɯ tɕe	tɕe pjɯχsu pɯŋu ri maka ɯrgɯ ɲɯsɯma maka ɕɤŋi nɤ nɤki ɯɲɤm kɯkhe nɯ kɯndɯndɯβ ʑo ɯzɯmbzɯm pjɯ́wɣβzu pjɯ́wɣrɤkrɯ tɕe	['t', 'ɕ', 'e', 'S', 'p', 'j', 'ɯ', 'χ', 's', 'u', 'j', 'S', 'p', 'ɯ', 'ŋ', 'u', 'S', 'r', 'i', 'S', 'm', 'a', 'k', 'a', 'S', 'ɯ', 'r', 'g', 'u', 'S', 'ɲ', 'ɯ', 's', 'ɯ', 'S', 'm', 'a', 'S', 'm', 'a', 'k', 'a', 'S', 'ɕ', 'ɤ', 'ŋ', 'i', 'S', 'n', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'S', 'ɯ', 'ɲ', 'ɤ', 'm', 'S', 'k', 'ɯ', 'k', 'h', 'e', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'n', 'd', 'ɯ', 'n', 'd', 'ɯ', 'β', 'S', '*', '*', '*', '*', 'z', 'ɯ', 'm', '*', 'z', 'ɯ', 'm', 'S', 'p', 'j', 'ɯ', '́', 'w', 'ɣ', 'β', 'z', 'u', 'S', 'ʑ', 'o', 'S', 'p', 'j', 'ɯ', '́', 'w', 'ɣ', 'r', 'ɤ', 'k', 'r', 'ɯ', 'S', 't', 'ɕ', 'e']	['t', 'ɕ', 'e', 'S', 'p', 'j', 'ɯ', 'χ', 's', 'u', '*', 'S', 'p', 'ɯ', 'ŋ', 'u', 'S', 'r', 'i', 'S', 'm', 'a', 'k', 'a', 'S', 'ɯ', 'r', 'g', 'ɯ', 'S', 'ɲ', 'ɯ', 's', 'ɯ', '*', 'm', 'a', 'S', 'm', 'a', 'k', 'a', 'S', 'ɕ', 'ɤ', 'ŋ', 'i', 'S', 'n', 'ɤ', 'S', 'n', 'ɤ', 'k', 'i', 'S', 'ɯ', 'ɲ', 'ɤ', 'm', 'S', 'k', 'ɯ', 'k', 'h', 'e', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'n', 'd', 'ɯ', 'n', 'd', 'ɯ', 'β', 'S', 'ʑ', 'o', 'S', 'ɯ', 'z', 'ɯ', 'm', 'b', 'z', 'ɯ', 'm', 'S', 'p', 'j', 'ɯ', '́', 'w', 'ɣ', 'β', 'z', 'u', '*', '*', '*', 'S', 'p', 'j', 'ɯ', '́', 'w', 'ɣ', 'r', 'ɤ', 'k', 'r', 'ɯ', 'S', 't', 'ɕ', 'e']	0.853	0.859	0.882	0.9475982532751092
ɕkom ɣɯ ɯʁrɯ ndɤ ɣɤʑu	ɕkom ɯŋgɯ ɯʁrɯndot ɣɤʑu	['ɕ', 'k', 'o', 'm', 'S', '*', '*', 'ɣ', 'ɯ', 'S', 'ɯ', 'ʁ', 'r', 'ɯ', 'S', 'n', 'd', '*', 'ɤ', 'S', 'ɣ', 'ɤ', 'ʑ', 'u']	['ɕ', 'k', 'o', 'm', 'S', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', 'ɯ', 'ʁ', 'r', 'ɯ', '*', 'n', 'd', 'o', 't', 'S', 'ɣ', 'ɤ', 'ʑ', 'u']	0.706	0.736	0.875	0.8604651162790697
ma ɯku nɯra nɤkinɯ kɯɲaʁ qhe ɯtaʁ kɯnɤmbju kɯtu ɲɯŋu	ma ɯku nɯra nɤkinɯ kɯɲaʁ qhe ɯtaʁ kɯnɤmbju kɯtu ɲɯŋu	['m', 'a', 'S', 'ɯ', 'k', 'u', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'k', 'ɯ', 'ɲ', 'a', 'ʁ', 'S', 'q', 'h', 'e', 'S', 'ɯ', 't', 'a', 'ʁ', 'S', 'k', 'ɯ', 'n', 'ɤ', 'm', 'b', 'j', 'u', 'S', 'k', 'ɯ', 't', 'u', 'S', 'ɲ', 'ɯ', 'ŋ', 'u']	['m', 'a', 'S', 'ɯ', 'k', 'u', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'k', 'ɯ', 'ɲ', 'a', 'ʁ', 'S', 'q', 'h', 'e', 'S', 'ɯ', 't', 'a', 'ʁ', 'S', 'k', 'ɯ', 'n', 'ɤ', 'm', 'b', 'j', 'u', 'S', 'k', 'ɯ', 't', 'u', 'S', 'ɲ', 'ɯ', 'ŋ', 'u']	1.0	1.0	1.0	1.0
tɕeri ndʑime nɯ kɯre chu kɯnɯdagong ɕti ma	tɕeri ndʑime nɯ kɯrɤchɯ kunɯtaʁ koŋ ɕti ma	['t', 'ɕ', 'e', 'r', 'i', 'S', 'n', 'd', 'ʑ', 'i', 'm', 'e', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'r', 'e', 'S', 'c', 'h', 'u', 'S', 'k', 'ɯ', 'n', 'ɯ', 'd', 'a', '*', 'g', 'o', 'n', 'g', 'S', 'ɕ', 't', 'i', 'S', 'm', 'a']	['t', 'ɕ', 'e', 'r', 'i', 'S', 'n', 'd', 'ʑ', 'i', 'm', 'e', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'r', '*', 'ɤ', 'c', 'h', 'ɯ', 'S', 'k', 'u', 'n', 'ɯ', 't', 'a', 'ʁ', 'S', 'k', 'o', 'ŋ', 'S', 'ɕ', 't', 'i', 'S', 'm', 'a']	0.615	0.679	0.751	0.8795180722891566
ɯthathor tɕe tɕe nɤkinɯ iɕqha kɯki kɯfse tɕe ɯkɯmpɕɤr	ɯthathor tɕe tɕe nɤkɯnɯ iɕqha kɯki kɯfse tɕe ɯkɯmpɕɤr ku tɕe tɕe	['ɯ', 't', 'h', 'a', 't', 'h', 'o', 'r', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'k', 'ɯ', 'k', 'i', 'S', 'k', 'ɯ', 'f', 's', 'e', 'S', 't', 'ɕ', 'e', 'S', 'ɯ', 'k', 'ɯ', 'm', 'p', 'ɕ', 'ɤ', 'r', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*']	['ɯ', 't', 'h', 'a', 't', 'h', 'o', 'r', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'S', 'n', 'ɤ', 'k', 'ɯ', 'n', 'ɯ', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'k', 'ɯ', 'k', 'i', 'S', 'k', 'ɯ', 'f', 's', 'e', 'S', 't', 'ɕ', 'e', 'S', 'ɯ', 'k', 'ɯ', 'm', 'p', 'ɕ', 'ɤ', 'r', 'S', 'k', 'u', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e']	0.847	0.876	0.933	0.896551724137931
ɯnɯnɯre tʂu kuɣi kuɕe ŋu ma	nɯndɤre tʂu koɣi kuɕe ŋu ma	['ɯ', 'n', 'ɯ', 'n', '*', 'ɯ', 'r', 'e', 'S', 't', 'ʂ', 'u', 'S', 'k', 'u', 'ɣ', 'i', 'S', 'k', 'u', 'ɕ', 'e', 'S', 'ŋ', 'u', 'S', 'm', 'a']	['*', 'n', 'ɯ', 'n', 'd', 'ɤ', 'r', 'e', 'S', 't', 'ʂ', 'u', 'S', 'k', 'o', 'ɣ', 'i', 'S', 'k', 'u', 'ɕ', 'e', 'S', 'ŋ', 'u', 'S', 'm', 'a']	0.756	0.789	0.899	0.9245283018867925
qhe nɤkinɯ kɯɤkhra tu	qhe nɤkinɯ kɯɤkhra tu	['q', 'h', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'k', 'ɯ', 'ɤ', 'k', 'h', 'r', 'a', 'S', 't', 'u']	['q', 'h', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'k', 'ɯ', 'ɤ', 'k', 'h', 'r', 'a', 'S', 't', 'u']	1.0	1.0	1.0	1.0
tɤthu ŋu tɕe ɯmdoʁ kɯmpɕɯmpɕɤr ʑo ŋu tɕe	tɤthɯu ŋu tɕe ɯmdoʁ kɯmpɕɯmpɕɤr ʑo ŋu tɕe	['t', 'ɤ', 't', 'h', '*', 'u', 'S', 'ŋ', 'u', 'S', 't', 'ɕ', 'e', 'S', 'ɯ', 'm', 'd', 'o', 'ʁ', 'S', 'k', 'ɯ', 'm', 'p', 'ɕ', 'ɯ', 'm', 'p', 'ɕ', 'ɤ', 'r', 'S', 'ʑ', 'o', 'S', 'ŋ', 'u', 'S', 't', 'ɕ', 'e']	['t', 'ɤ', 't', 'h', 'ɯ', 'u', 'S', 'ŋ', 'u', 'S', 't', 'ɕ', 'e', 'S', 'ɯ', 'm', 'd', 'o', 'ʁ', 'S', 'k', 'ɯ', 'm', 'p', 'ɕ', 'ɯ', 'm', 'p', 'ɕ', 'ɤ', 'r', 'S', 'ʑ', 'o', 'S', 'ŋ', 'u', 'S', 't', 'ɕ', 'e']	0.937	0.986	0.944	0.9875
tɕendɤre ɯkɯkɯki ɕkom ki kɯɕɯŋgɯ tɕe aʑo aβɣo ɣɯ ɯme pɯŋu	tɕendɤre ɯkɯkɯki ɕkom ki kɯɕɯŋgɯ tɕe aʑo aβɣu ɣɯ ɯme pɯŋu	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'ɯ', 'k', 'ɯ', 'k', 'ɯ', 'k', 'i', 'S', 'ɕ', 'k', 'o', 'm', 'S', 'k', 'i', 'S', 'k', 'ɯ', 'ɕ', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', 't', 'ɕ', 'e', 'S', 'a', 'ʑ', 'o', 'S', 'a', 'β', 'ɣ', 'o', 'S', 'ɣ', 'ɯ', 'S', 'ɯ', 'm', 'e', 'S', 'p', 'ɯ', 'ŋ', 'u']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'ɯ', 'k', 'ɯ', 'k', 'ɯ', 'k', 'i', 'S', 'ɕ', 'k', 'o', 'm', 'S', 'k', 'i', 'S', 'k', 'ɯ', 'ɕ', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', 't', 'ɕ', 'e', 'S', 'a', 'ʑ', 'o', 'S', 'a', 'β', 'ɣ', 'u', 'S', 'ɣ', 'ɯ', 'S', 'ɯ', 'm', 'e', 'S', 'p', 'ɯ', 'ŋ', 'u']	0.975	0.976	0.984	0.9911504424778761
ɯsŋɯro kɯwxti lutɕɤt qhe aʑo mɯ́jchaa aʑo mɤchaa	ɯsŋɯro ra kɯwxti lutɕɤt qhe maka aʑo mɯ́jcha aʑo mɤcha	['ɯ', 's', 'ŋ', 'ɯ', 'r', 'o', 'S', '*', '*', '*', 'k', 'ɯ', 'w', 'x', 't', 'i', 'S', 'l', 'u', 't', 'ɕ', 'ɤ', 't', 'S', 'q', 'h', 'e', '*', '*', '*', '*', '*', 'S', 'a', 'ʑ', 'o', 'S', 'm', 'ɯ', '́', 'j', 'c', 'h', 'a', 'a', 'S', 'a', 'ʑ', 'o', 'S', 'm', 'ɤ', 'c', 'h', 'a', 'a']	['ɯ', 's', 'ŋ', 'ɯ', 'r', 'o', 'S', 'r', 'a', 'S', 'k', 'ɯ', 'w', 'x', 't', 'i', 'S', 'l', 'u', 't', 'ɕ', 'ɤ', 't', 'S', 'q', 'h', 'e', 'S', 'm', 'a', 'k', 'a', 'S', 'a', 'ʑ', 'o', 'S', 'm', 'ɯ', '́', 'j', 'c', 'h', '*', 'a', 'S', 'a', 'ʑ', 'o', 'S', 'm', 'ɤ', 'c', 'h', '*', 'a']	0.905	0.881	0.947	0.900990099009901
tɕe nɯ ɣɯ feitan nɯ ɯtaʁ kuonɯmdzɯ tɕe 	tɕe nɯ ɣɯ ɯfeitha nɯ ɯtaʁ konɯmdzɯ tɕe	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'ɣ', 'ɯ', 'S', '*', 'f', 'e', 'i', 't', 'a', 'n', 'S', 'n', 'ɯ', 'S', 'ɯ', 't', 'a', 'ʁ', 'S', 'k', 'u', 'o', 'n', 'ɯ', 'm', 'd', 'z', 'ɯ', 'S', 't', 'ɕ', 'e', 'S']	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'ɣ', 'ɯ', 'S', 'ɯ', 'f', 'e', 'i', 't', 'h', 'a', 'S', 'n', 'ɯ', 'S', 'ɯ', 't', 'a', 'ʁ', 'S', 'k', '*', 'o', 'n', 'ɯ', 'm', 'd', 'z', 'ɯ', 'S', 't', 'ɕ', 'e', '*']	0.801	0.861	0.849	0.9342105263157895
tɕe ɯjwaʁ nɯ pjɯʁndzɤrnɯ tɕe tɯspra tɯspra tuxtɕɤrnɯ tɕe	tɕe ɯjwaʁ nɯ pjɯʁndzɤrnɯ tɕe nɯ tɯspra tɯspra túwxtɕɤrnɯ tɕe	['t', 'ɕ', 'e', 'S', 'ɯ', 'j', 'w', 'a', 'ʁ', 'S', 'n', 'ɯ', 'S', 'p', 'j', 'ɯ', 'ʁ', 'n', 'd', 'z', 'ɤ', 'r', 'n', 'ɯ', 'S', 't', 'ɕ', 'e', 'S', '*', '*', '*', 't', 'ɯ', 's', 'p', 'r', 'a', 'S', 't', 'ɯ', 's', 'p', 'r', 'a', 'S', 't', 'u', '*', '*', 'x', 't', 'ɕ', 'ɤ', 'r', 'n', 'ɯ', 'S', 't', 'ɕ', 'e']	['t', 'ɕ', 'e', 'S', 'ɯ', 'j', 'w', 'a', 'ʁ', 'S', 'n', 'ɯ', 'S', 'p', 'j', 'ɯ', 'ʁ', 'n', 'd', 'z', 'ɤ', 'r', 'n', 'ɯ', 'S', 't', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 't', 'ɯ', 's', 'p', 'r', 'a', 'S', 't', 'ɯ', 's', 'p', 'r', 'a', 'S', 't', 'u', '́', 'w', 'x', 't', 'ɕ', 'ɤ', 'r', 'n', 'ɯ', 'S', 't', 'ɕ', 'e']	0.872	0.903	0.95	0.9568965517241379
nɯnɯ aʑo atshɤt nɤki atɤ atɤnɯsɤfse ɯ́jɤɣ toti ri 	nɯnɯ aʑo atshɤt nɤki atɤnɯsa atɤnɯsɤfse ɯjɤɣ toti ri	['n', 'ɯ', 'n', 'ɯ', 'S', 'a', 'ʑ', 'o', 'S', 'a', 't', 's', 'h', 'ɤ', 't', 'S', 'n', 'ɤ', 'k', 'i', 'S', 'a', 't', 'ɤ', '*', '*', '*', '*', 'S', 'a', 't', 'ɤ', 'n', 'ɯ', 's', 'ɤ', 'f', 's', 'e', 'S', 'ɯ', '́', 'j', 'ɤ', 'ɣ', 'S', 't', 'o', 't', 'i', 'S', 'r', 'i', 'S']	['n', 'ɯ', 'n', 'ɯ', 'S', 'a', 'ʑ', 'o', 'S', 'a', 't', 's', 'h', 'ɤ', 't', 'S', 'n', 'ɤ', 'k', 'i', 'S', 'a', 't', 'ɤ', 'n', 'ɯ', 's', 'a', 'S', 'a', 't', 'ɤ', 'n', 'ɯ', 's', 'ɤ', 'f', 's', 'e', 'S', 'ɯ', '*', 'j', 'ɤ', 'ɣ', 'S', 't', 'o', 't', 'i', 'S', 'r', 'i', '*']	0.867	0.903	0.889	0.9405940594059405
tɕendɤre kɯki rgɤtpu ki rca wuma ʑo kɯŋɤn ci pjɤŋu tɕe	tɕendɤre kɯki rgɤtpu ki rca wuma ʑo kɯŋɤn ci pjɤŋu tɕe	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'k', 'ɯ', 'k', 'i', 'S', 'r', 'g', 'ɤ', 't', 'p', 'u', 'S', 'k', 'i', 'S', 'r', 'c', 'a', 'S', 'w', 'u', 'm', 'a', 'S', 'ʑ', 'o', 'S', 'k', 'ɯ', 'ŋ', 'ɤ', 'n', 'S', 'c', 'i', 'S', 'p', 'j', 'ɤ', 'ŋ', 'u', 'S', 't', 'ɕ', 'e']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'k', 'ɯ', 'k', 'i', 'S', 'r', 'g', 'ɤ', 't', 'p', 'u', 'S', 'k', 'i', 'S', 'r', 'c', 'a', 'S', 'w', 'u', 'm', 'a', 'S', 'ʑ', 'o', 'S', 'k', 'ɯ', 'ŋ', 'ɤ', 'n', 'S', 'c', 'i', 'S', 'p', 'j', 'ɤ', 'ŋ', 'u', 'S', 't', 'ɕ', 'e']	1.0	1.0	1.0	1.0
nɯnɯ tɯβli jaɣɯt tɕe tham tham aʁɤndɯndɤt ʑo tu	nɯnɯ tɯβli jaɣɯt tɕe tthamtham tɕe aʁɤndɯndɤt ʑo tu	['n', 'ɯ', 'n', 'ɯ', 'S', 't', 'ɯ', 'β', 'l', 'i', 'S', 'j', 'a', 'ɣ', 'ɯ', 't', 'S', 't', 'ɕ', 'e', 'S', 't', '*', 'h', 'a', 'm', 'S', 't', 'h', 'a', 'm', '*', '*', '*', '*', 'S', 'a', 'ʁ', 'ɤ', 'n', 'd', 'ɯ', 'n', 'd', 'ɤ', 't', 'S', 'ʑ', 'o', 'S', 't', 'u']	['n', 'ɯ', 'n', 'ɯ', 'S', 't', 'ɯ', 'β', 'l', 'i', 'S', 'j', 'a', 'ɣ', 'ɯ', 't', 'S', 't', 'ɕ', 'e', 'S', 't', 't', 'h', 'a', 'm', '*', 't', 'h', 'a', 'm', 'S', 't', 'ɕ', 'e', 'S', 'a', 'ʁ', 'ɤ', 'n', 'd', 'ɯ', 'n', 'd', 'ɤ', 't', 'S', 'ʑ', 'o', 'S', 't', 'u']	0.909	0.888	0.946	0.9381443298969072
tɕe ɯku nɯreri kɯŋgɯŋgɤr ʑo 	tɕe ɯku nɯreri kɯŋgɯŋgɤr ʑo	['t', 'ɕ', 'e', 'S', 'ɯ', 'k', 'u', 'S', 'n', 'ɯ', 'r', 'e', 'r', 'i', 'S', 'k', 'ɯ', 'ŋ', 'g', 'ɯ', 'ŋ', 'g', 'ɤ', 'r', 'S', 'ʑ', 'o', 'S']	['t', 'ɕ', 'e', 'S', 'ɯ', 'k', 'u', 'S', 'n', 'ɯ', 'r', 'e', 'r', 'i', 'S', 'k', 'ɯ', 'ŋ', 'g', 'ɯ', 'ŋ', 'g', 'ɤ', 'r', 'S', 'ʑ', 'o', '*']	0.931	0.938	0.988	0.9814814814814815
kɯki tɯχpɯm ɯfsu jamar tuwxti cha	kɯki tɯχpɤm su jamar tuwxti cha	['k', 'ɯ', 'k', 'i', 'S', 't', 'ɯ', 'χ', 'p', 'ɯ', 'm', 'S', 'ɯ', 'f', 's', 'u', 'S', 'j', 'a', 'm', 'a', 'r', 'S', 't', 'u', 'w', 'x', 't', 'i', 'S', 'c', 'h', 'a']	['k', 'ɯ', 'k', 'i', 'S', 't', 'ɯ', 'χ', 'p', 'ɤ', 'm', 'S', '*', '*', 's', 'u', 'S', 'j', 'a', 'm', 'a', 'r', 'S', 't', 'u', 'w', 'x', 't', 'i', 'S', 'c', 'h', 'a']	0.833	0.9	0.925	0.9523809523809523
tɕeri ɯʑo kɯfse maka mɯpjɤmpɕɤr	tɕeri ɯʑo kɯfse maka mɯpjɤmpɕɤr	['t', 'ɕ', 'e', 'r', 'i', 'S', 'ɯ', 'ʑ', 'o', 'S', 'k', 'ɯ', 'f', 's', 'e', 'S', 'm', 'a', 'k', 'a', 'S', 'm', 'ɯ', 'p', 'j', 'ɤ', 'm', 'p', 'ɕ', 'ɤ', 'r']	['t', 'ɕ', 'e', 'r', 'i', 'S', 'ɯ', 'ʑ', 'o', 'S', 'k', 'ɯ', 'f', 's', 'e', 'S', 'm', 'a', 'k', 'a', 'S', 'm', 'ɯ', 'p', 'j', 'ɤ', 'm', 'p', 'ɕ', 'ɤ', 'r']	1.0	1.0	1.0	1.0
tɤtʂu kopanɯ qhe konɯrŋgɯnɯ	tɤtʂu koɯpa nɯ qhe konɯrŋgɯ nɯ	['t', 'ɤ', 't', 'ʂ', 'u', 'S', 'k', 'o', '*', 'p', 'a', '*', 'n', 'ɯ', 'S', 'q', 'h', 'e', 'S', 'k', 'o', 'n', 'ɯ', 'r', 'ŋ', 'g', 'ɯ', 'n', 'ɯ', '*']	['t', 'ɤ', 't', 'ʂ', 'u', 'S', 'k', 'o', 'ɯ', 'p', 'a', 'S', 'n', 'ɯ', 'S', 'q', 'h', 'e', 'S', 'k', 'o', 'n', 'ɯ', 'r', 'ŋ', 'g', 'ɯ', 'S', 'n', 'ɯ']	0.894	0.937	0.912	0.9464285714285714
qarɣe ʑo fse kɯɣɯrnɯrni ʑo ŋu	tɤrɣe ʑo kɯfse kɯɣɯrnɯrni ʑo ŋu	['q', 'a', 'r', 'ɣ', 'e', 'S', 'ʑ', 'o', 'S', '*', '*', 'f', 's', 'e', 'S', 'k', 'ɯ', 'ɣ', 'ɯ', 'r', 'n', 'ɯ', 'r', 'n', 'i', 'S', 'ʑ', 'o', 'S', 'ŋ', 'u']	['t', 'ɤ', 'r', 'ɣ', 'e', 'S', 'ʑ', 'o', 'S', 'k', 'ɯ', 'f', 's', 'e', 'S', 'k', 'ɯ', 'ɣ', 'ɯ', 'r', 'n', 'ɯ', 'r', 'n', 'i', 'S', 'ʑ', 'o', 'S', 'ŋ', 'u']	0.712	0.855	0.842	0.9322033898305084
a nɯ tɤŋu tɕe fso tɕe 	wa nɯ doŋlun tɕe fso tɕe	['*', 'a', 'S', 'n', 'ɯ', 'S', 't', 'ɤ', 'ŋ', '*', 'u', '*', 'S', 't', 'ɕ', 'e', 'S', 'f', 's', 'o', 'S', 't', 'ɕ', 'e', 'S']	['w', 'a', 'S', 'n', 'ɯ', 'S', 'd', 'o', 'ŋ', 'l', 'u', 'n', 'S', 't', 'ɕ', 'e', 'S', 'f', 's', 'o', 'S', 't', 'ɕ', 'e', '*']	0.65	0.706	0.853	0.8666666666666667
tɕendɤre mɯɲɤstu qhe ɯqom ʑo pjɤɬoʁ	tɕendɤre mɯɲɤstu qhe ɯqom ʑo pjɤɬoʁ	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'm', 'ɯ', 'ɲ', 'ɤ', 's', 't', 'u', 'S', 'q', 'h', 'e', 'S', 'ɯ', 'q', 'o', 'm', 'S', 'ʑ', 'o', 'S', 'p', 'j', 'ɤ', 'ɬ', 'o', 'ʁ']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'm', 'ɯ', 'ɲ', 'ɤ', 's', 't', 'u', 'S', 'q', 'h', 'e', 'S', 'ɯ', 'q', 'o', 'm', 'S', 'ʑ', 'o', 'S', 'p', 'j', 'ɤ', 'ɬ', 'o', 'ʁ']	1.0	1.0	1.0	1.0
