Reference	Prediction
tɕendɤre tɤwi nɯ kɯ tɕhi kɯfse ʑo nɯ pjɤfɕɤt tɕendɤre	tɕendɤre tɤwi nɯ kɯ tɕhi sɯfse ʑo nɯ pjɤftɕɤt tɕe tɕendɤre
tɕendɤre tɯsla ɲɤɕqhlɤt	tɕendɤre tɯsla ɲɤɕqhlɤt
nɯra kɯ  tɯrme ra kɯ tɕe aʑo armi nɯ stu ʑo kɯmpɕɤr tusɯpanɯ ɲɯŋu	nɯra kɯ tɯrme ra kɯ tɕe aʑo ɯrmi nɯnɯ stu ʑo kɯmpɕɤr tusɯpanɯ ɲɯŋu
tɕe nɤki qhe nɯ kɯki nɯ arkɯ ɣzɯ nɯra tɕhi kɯfse ɲɯŋunɯ toti ɲɯŋu ri	tɕe nɤki qhe nɤkɯki mnɯ arkɯ ɣɯ nɤki βzɯ nɯra tɕhi kɯfse ɲɯŋu toti ɲɯŋu ri
ɯmke stu nɯ ɯpa pjɯɕthɯznɯ	ɯmke ɯstu nɯ pa pjɯɕthɯz nɤ
tɕe nɯnɯ ɯjwaʁ nɯnɯ kɯtɕɤr tsa ci li ɯku lukɯɤmtɕoʁ kɯfse ci ŋu tɕe	tɕe nɯnɯ ɯjwaʁ nɯnɯ kɯtɕɤr tsa ci li ɯku lukɯɤmtɕoʁ kɯfse ci ŋu tɕe
tɕe tonɤmtsɯmtsaʁnɯ	tɕe tonɤmtsɯmtsaʁnɯ
nɯnɯ athɤrji nɯ ɲɯmbrɤt tɕe ɯndɤcu ri li tɯji ci kundzoʁ ŋu tɕe	nɯnɯ athɯɤri nɯ ɲɯmbrɤt tɕe ɯndɤcu ri li tɯji ci kundzoʁ tɕe
pjɯru qhe tɕeki tɯci ɯŋgɯ ɯʑo pɯkɯntɕhɤr nɯ pjɤmto	pjɯru qhe tɕe ki tɯci ɯŋgɯ ɯʑo pɯkɯntɕhɤr nɯ pjɤmto
tɕe nɯnɯ tɕe tɕe nɯnɯ tɤtu tɕe tɕe	tɕe nɯnɯ tɕe tɕe nɯnɯ ɯtɤtu tɕe tɕe
nɯ mɤʑɯ tɕe tɕe ɬɤndʐi ʁnɯz nɯ nɯnɯ sakaβ ɯrkɯ nɯtɕu li ɲɤkɤtɯɣndʑici pjɤrɯkhɤcɤlndʑi	nɯ ɯmɯr ʑo tɕe tɕe ɬɤndʐi ʁnɯz nɯ nɯnɯ sakaβ ɯrkɯ nɯtɕu li ɲɤkɤtɯɣndʑi ci pjɤrɯkhɤcɤlndʑi
tɕe nɯ qrose ŋu	tɕe nɯ qrose ŋu
tɕe ɯsroʁ kɤri ra toti	tɕe ɯsro kɤri ra toti
lutɯfsoʁ ʑo qhe tɯrɤma tuʑe ɲɯŋu	zlɯtɯfsoʁ ʑo qhe tɯrɤma tuʑe
tɕe nɯnɯ stoʁ nɯ tɕe thamtham	tɕe nɯnɯ stoʁ nɯnɯ tɕe thamtham
tɕeri nɤkinɯ tɕandu nɯ kɯ rkoŋɟɤl nɯ kunɤzde pjɤŋu tɕe tɕendɤre	tɕeri nɤkinɯ tqiandu nɯ kɯ rkoŋɟɤl nɯ kunɤzde pjɤŋu tɕe tɕendɤre
ʁnɯtɤkhrɤz χsɯtɤkhrɤz jamar kɯtu tu	nɯnɯ ʁnɯtɤkhrɤz χsɯtɤkhrɤz jamar kɯtu tu
nɯ tɕu tɕe tɕendɤre	nɯtɕu tɕe tɕendɤre
tonɯqambɯmbjom toɕe	tonɯqambɯmbjom toɕe
tɕe nɯnɯ túwɣɣɯɕkat tɕe ɯsno ɣɯ́ta mɯ́jra matɕi 	tɕe nɯnɯ túwɣɣɯɕka tɕe ɯsno ɣɯta mɯ́jra matɕi
nɤki pɤjkhu nɯtɕu pjɤnnɯrŋgɯ	nɤki pɤjkhu nɯtɕu pjɤnɯrŋgɯ
ɯmɤlɤjaʁ kɯnɤ ʑo ɲɯɣɯrni	ɯmɤlɤjaʁ ra kɯnɤ ʑo ɲɯɣɯrni
chɯɕe ɕɯŋgɯ tɕe	uɕe ɕɯŋgɯ tɕe
ʁnɯsŋi pjɤrɤʑinɯ tɕe tɕe nɯ ɯfsosoz nɯtɕu tɕe tɕendɤre nɤki	nɯ sŋi pjɤrɤʑinɯ tɕe tɕe nɯ ɯfso ɯfsoz nɯtɕu tɕe tɕendɤre nɤki
iɕqha tama ɯkɯβzu ra ɣɯ nɯkɯm nɯ tɕu jozɣɯtndʑi	iɕqha tama kúwɣβzu ra ɣɯ nɯkɯm nɯtɕu jozɣɯtndʑi
nɯnɯ ra nɯ ɯŋgɯ li kɯmaʁ tɤmthɯm chɯrɤɣndinɯ tɕe	nɯnɯra nɯ ɯŋgɯ li kɯmaʁ tɤmthɯm chɯrɤɣndinɯ tɕe
ɯmɯntoʁ li ɯmɯntoʁ ɣɯ ɯjwaʁ kɯfse nɯnɯ	ɯmɯntoʁ nɯnɯ li ɯmɯntoʁ ɣɯ ɯjwaʁ kɯfse nɯnɯ
tɕe kɯndʑɤm ʑo mɤkɯsɤɕke mɤkɯmɯɕtaʁ túwɣndza tɕe tɕe ɲɯphɤn ma	tɕe kɯndʑɤm ʑo mɤkɤsɤɕke mɤkɯmɯɕtaʁ túwɣndza tɕe tɕe ɲɯphɤtn
tɕendɤre taʁi nɯ kɯ ɯpi ɣɯ ɯsci tunɤmea ra ɲɤsɯso tɕe	tɕendɤre tɤʁi nɯ kɯ ɯpi ɣɯ ɯsci tunɤmea ra ɲɤsɯso tɕe
chɤnɯɕe tɕe tɕendɤre	tɕechɤnɯɕe tɕe tɕendɤre
tɕendɤre nɤkinɯ	tɕendɤre nɤkinɯ
tɤtɕɯ nɯnɯ torɤŋgat tɕe tɕe chɤnɯɕe tɕe	tɤtɕɯ nɯnɯ torɤŋga tɕe tɕe chɤnɯɕe tɕe
kɯki nɤki qaliaʁ lɯlu phaʁrgot nɯra ɲɯŋu	kɯki nɤki qaliaʁ lulu
kutɕu kɤru ra toti tɤtɯŋgat ɯɲɯtɯnɤtsa kɯ kɤru ra totindʑi	kutɕu kɤru ra toti tɤtɯŋga ɯɲɯtɯnɤtsa kɯ kɤru ra totindʑi
tɕe ɯri nɯ ɲɯ́wɣrɤɕi tɕe li chɯ́wɣsɤsɯɣ nɯ mŋurɯm tukɯti ŋu	tɕe ɯri nɯ ɲɯ́wɣrɤɕi tɕe li chɯ́wɣsɤsɯɣ tɕe nɯ mŋrum tukɯti ŋu
tɕe nɯnɯ ɯtaʁ nɯtɕu chɯkɯnɯkhɤlɤmdzɯmdzɯ tɕe	tɕe nɯnɯ ɯtaʁ nɯtɕu chɯkɯnɯkhɤlɤmdzɯmdzɯ tɕe
tɕe ɯskɤt mɯ́jwxti khi ma nɯ tuti ɲɯŋu khi	tɕe ɯskɤt mɯ́jwxti khi ma nɯ tuti ɲɯŋu khi
matɕi χtɕɤnzɤn nɯra wuma ʑo ɲɯŋɤnnɯ tɕe rcanɯ	matɕi χtɕɤndzɤn nɯra wuma ʑo ɲɯŋanɯ tɕe rcanɯ
tɕekithaχtsa apɯŋu tɕe ɯmɯntoʁ ra tɕe	tɕe ki thaχtsa tɤŋu tɕe ɯmɯntoʁ ra tɕe tɕe
ɯʁar ra tosɤrphɤrphɤβ tɕe	ɕe nɯ ɯʁar ra tosɤrphɤrphɤβ tɕe
tɕe nɤkinɯ kɯɕɯŋgɯ tɕe sɯŋgi ci pjɤtu tɕe tongo	tɕe nɤkinɯ kɯɕɯŋgɯ tɕe sɯŋgi ci pjɤtu tɕe tongo
tumŋɤm ɯxɕɤt kɯ aʑo nɯ aku ɕɤrɯ pjɤɣɤtsɯr ɲɯŋu nɯsɯsota 	tɯmŋɤm xɕɤ kɯ aʑo nɯ aku ɯɕɤrɯ pjɤɣɤtsɯr ɲɯŋu sota
iɕqha mbraj cho sɤjku nɯra nɯtshɯɣa ɲɯfse	iɕqha mbraj cho sɤjku nɯra nɯtshɯɣa ɲɯfse
nɤrɟit jukɯsci tɤkɯrɤŋgat nɯ aɕki aʑɯɣ nɯkhɤm ra toti 	nɤrɟi jikɯscit tɤkɯrɤŋga nɯ aʑo ɯɕki nɯkhɤm ra toti
apɯ́wɣɣɤjmŋo tɕe χsɯxpa nɯ kɯmɤɕi tutinɯ ɲɯŋu 	apu ɣɤjmŋu tɕe χsɯxpa nɯ kɯmɤɕi tutinɯ ɲɯŋu
tɤjwaʁ nɯra ɯdɯχɯn wuma ʑo mnɤm	tɤjwaʁ nɯra ɯdɯχɯn wuma ʑo mnɤm
ɴɢoɕna kɯ karɣi nɯ junɯtsɯm tɕe kɯɬoʁ ɯspa ɲɯme ŋgrɤl tutinɯ ŋgrɤl ma	ɴɢoɕna kɯarɣi nɯ junɯtsɯm tɕe kɯɬoʁ ɯspa ɲɯme ŋgrɤl tutinɯ ŋgrɤl ma
tɕe rŋɯl χsɤr rɯnbotɕhi nɯra ɲɤmbi	tɕenɯra rŋɯl χsɤr ɯnbotɕhi nɯra ɲɤmbi
torkɤz tɕendɤre koŋla tɯrme ɣɯ ɯxso tɯrme nɯ cho ɯtɯwxti kɯnaχtɕɯɣ jamar ci ʑo torkɤz tɕe rcanɯ 	tɕe torkɤz tɕendɤre koŋla tɯrme ɣɯ ɯfso tɯrme nɯ tɕho ɯtɯwxti kɯnaχtɕɯɣ jamar ci ʑo torkɤz tɕe rcanɯ
mɤʑɯ ɯβlu kɯpe ci tɤntɕhoz tɕe 	mɤʑɯ ɯβlu kɯpe ci tɤntɕhoz tɕe
tɕe tasɤmu nɯ tɕe tɕe ɯrqhu nɯ ɯsna tu	tɕe tasa mu nɯ tɕe tɕe ɯrqhu nɯ ɯsna tu
wo qale nɤʑo qro tɯrdoʁ kɯnɯqambɯmbjom ɯpɯtɯmtot toti ri nɤki	wo qale nɤki nɤʑo qro tɯrdoʁ kɯnɯqa mbjo ɯpɯ tɯmto toti ri
