tɕe	t ɕ e
apɯtɯzrɤtɕaʁ	a p ɯ t ɯ z r ɤ t ɕ a ʁ
apɯtɯɣɤntaβ	a p ɯ t ɯ ɣ ɤ n t a β
apɯtɯɣɤrɤt	a p ɯ t ɯ ɣ ɤ r ɤ t
apɯtɯɤʁe	a p ɯ t ɯ ɤ ʁ e
apɯtɯ́wɣmto	a p ɯ t ɯ ́ w ɣ m t o
apɯtɯ́wɣsɯz	a p ɯ t ɯ ́ w ɣ s ɯ z
apɯtɯχtɤr	a p ɯ t ɯ χ t ɤ r
apɯtʂaβ	a p ɯ t ʂ a β
apɯtʂot	a p ɯ t ʂ o t
apɯxtshɯm	a p ɯ x t s h ɯ m
apɯxtɕi	a p ɯ x t ɕ i
apɯxtɯt	a p ɯ x t ɯ t
apɯznɯtɕhɤlnɯ	a p ɯ z n ɯ t ɕ h ɤ l n ɯ
apɯzri	a p ɯ z r i
apɯzɣɯt	a p ɯ z ɣ ɯ t
apɯŋgrɯ	a p ɯ ŋ g r ɯ
apɯɕe	a p ɯ ɕ e
apɯɕqhlɤtndʑi	a p ɯ ɕ q h l ɤ t n d ʑ i
apɯɣɤŋgɯrŋgɯr	a p ɯ ɣ ɤ ŋ g ɯ r ŋ g ɯ r
apɯɤci	a p ɯ ɤ c i
apɯɤkhra	a p ɯ ɤ k h r a
apɯɤmdzɯ	a p ɯ ɤ m d z ɯ
apɯɤndʑɤmstu	a p ɯ ɤ n d ʑ ɤ m s t u
apɯɤnɯrku	a p ɯ ɤ n ɯ r k u
apɯɤro	a p ɯ ɤ r o
apɯɤrɤt	a p ɯ ɤ r ɤ t
apɯɤsɯlɤt	a p ɯ ɤ s ɯ l ɤ t
apɯɤtɕaʁ	a p ɯ ɤ t ɕ a ʁ
apɯɤɕɤl	a p ɯ ɤ ɕ ɤ l
apɯɤʁe	a p ɯ ɤ ʁ e
apɯɤʁea	a p ɯ ɤ ʁ e a
apɯɴqoʁ	a p ɯ ɴ q o ʁ
apɯ́wɣsatanɯ	a p ɯ ́ w ɣ s a t a n ɯ
apɯ́wɣskɯj	a p ɯ ́ w ɣ s k ɯ j
aqala	a q a l a
aqarŋɯrne	a q a r ŋ ɯ r n e
aqaʑo	a q a ʑ o
aqe	a q e
aqrondʐi	a q r o n d ʐ i
argɯji	a r g ɯ j i
arju	a r j u
arme	a r m e
arnoʁ	a r n o ʁ
arqhi	a r q h i
artsɤɣ	a r t s ɤ ɣ
arŋilɯz	a r ŋ i l ɯ z
arɟɤlkhɤβ	a r ɟ ɤ l k h ɤ β
arɟɯ	a r ɟ ɯ
arɣe	a r ɣ e
arɤɣo	a r ɤ ɣ o
ascapa	a s c a p a
ascawa	a s c a w a
ashenghuo	a s h e n g h u o
asnɯɲaʁ	a s n ɯ ɲ a ʁ
asqhaj	a s q h a j
astɯsti	a s t ɯ s t i
asɤzrɤʑi	a s ɤ z r ɤ ʑ i
asɯlɤt	a s ɯ l ɤ t
asɯmat	a s ɯ m a t
asɯndoʁ	a s ɯ n d o ʁ
asɯŋga	a s ɯ ŋ g a
asɲa	a s ɲ a
atara	a t a r a
athichoʁle	a t h i c h o ʁ l e
athɤr	a t h ɤ r
athɯ	a t h ɯ
athɯdo	a t h ɯ d o
athɯndonɯ	a t h ɯ n d o n ɯ
athɯsɯsua	a t h ɯ s ɯ s u a
athɯtshu	a t h ɯ t s h u
athɯtɕaʁ	a t h ɯ t ɕ a ʁ
athɯtɯmtshi	a t h ɯ t ɯ m t s h i
athɯtɯnɤstɤr	a t h ɯ t ɯ n ɤ s t ɤ r
athɯtɯpanɯ	a t h ɯ t ɯ p a n ɯ
athɯtɯte	a t h ɯ t ɯ t e
athɯtɯtɕɤt	a t h ɯ t ɯ t ɕ ɤ t
athɯtɯɕe	a t h ɯ t ɯ ɕ e
athɯtɯɣi	a t h ɯ t ɯ ɣ i
athɯtɯβze	a t h ɯ t ɯ β z e
athɯɣi	a t h ɯ ɣ i
atiaojian	a t i a o j i a n
atɕ	a t ɕ
atɕheme	a t ɕ h e m e
atɕhɤl	a t ɕ h ɤ l
atɣa	a t ɣ a
atɤbɯɣnɯ	a t ɤ b ɯ ɣ n ɯ
atɤcha	a t ɤ c h a
atɤfka	a t ɤ f k a
atɤfkɯm	a t ɤ f k ɯ m
atɤfsej	a t ɤ f s e j
atɤfsendʑi	a t ɤ f s e n d ʑ i
atɤkɯsɯxɕɤt	a t ɤ k ɯ s ɯ x ɕ ɤ t
atɤkɯtɕɤt	a t ɤ k ɯ t ɕ ɤ t
atɤmna	a t ɤ m n a
atɤmtsɯr	a t ɤ m t s ɯ r
atɤmuj	a t ɤ m u j
atɤmŋɤm	a t ɤ m ŋ ɤ m
atɤnaχpjɤti	a t ɤ n a χ p j ɤ t i
atɤnɤkhɯ	a t ɤ n ɤ k h ɯ
atɤnɤmnɤm	a t ɤ n ɤ m n ɤ m
atɤnɯnanɯ	a t ɤ n ɯ n a n ɯ
atɤnɯrɤmdzɯt	a t ɤ n ɯ r ɤ m d z ɯ t
atɤnɯtinɯ	a t ɤ n ɯ t i n ɯ
atɤnɯɣi	a t ɤ n ɯ ɣ i
atɤnɯɬoʁndʑi	a t ɤ n ɯ ɬ o ʁ n d ʑ i
atɤnɯɴqhe	a t ɤ n ɯ ɴ q h e
atɤnɯχsɤl	a t ɤ n ɯ χ s ɤ l
atɤnɯχti	a t ɤ n ɯ χ t i
atɤpe	a t ɤ p e
atɤrɤmdzɯt	a t ɤ r ɤ m d z ɯ t
atɤrɤŋgat	a t ɤ r ɤ ŋ g a t
atɤste	a t ɤ s t e
atɤsɤscit	a t ɤ s ɤ s c i t
atɤsɤtɕhɯ	a t ɤ s ɤ t ɕ h ɯ
atɤtsu	a t ɤ t s u
atɤtɕhɯnɯ	a t ɤ t ɕ h ɯ n ɯ
atɤtɯlɤt	a t ɤ t ɯ l ɤ t
atɤtɯmna	a t ɤ t ɯ m n a
atɤtɯnaχsoz	a t ɤ t ɯ n a χ s o z
atɤtɯnɯɬoʁnɯ	a t ɤ t ɯ n ɯ ɬ o ʁ n ɯ
atɤtɯphɯt	a t ɤ t ɯ p h ɯ t
atɤtɯrke	a t ɤ t ɯ r k e
atɤtɯru	a t ɤ t ɯ r u
atɤtɯrɤmanɯ	a t ɤ t ɯ r ɤ m a n ɯ
atɤtɯrɤɕi	a t ɤ t ɯ r ɤ ɕ i
atɤtɯsɯɣe	a t ɤ t ɯ s ɯ ɣ e
atɤtɯŋke	a t ɤ t ɯ ŋ k e
atɤtɯɕenɯ	a t ɤ t ɯ ɕ e n ɯ
atɤtɯɣɤβdi	a t ɤ t ɯ ɣ ɤ β d i
atɤtɯβze	a t ɤ t ɯ β z e
atɤwxti	a t ɤ w x t i
atɤxtsɯɣ	a t ɤ x t s ɯ ɣ
atɤzbaʁ	a t ɤ z b a ʁ
atɤŋganɯ	a t ɤ ŋ g a n ɯ
atɤɕe	a t ɤ ɕ e
atɤɣɤmne	a t ɤ ɣ ɤ m n e
atɤɣɤɕqali	a t ɤ ɣ ɤ ɕ q a l i
atɤɣɯmat	a t ɤ ɣ ɯ m a t
atɤɣɯrni	a t ɤ ɣ ɯ r n i
atɤɤkhra	a t ɤ ɤ k h r a
atɤɤpɯpa	a t ɤ ɤ p ɯ p a
atɤʑo	a t ɤ ʑ o
atɤ́wɣnɯndzaanɯ	a t ɤ ́ w ɣ n ɯ n d z a a n ɯ
atɤ́wɣqura	a t ɤ ́ w ɣ q u r a
atɤ́wɣβzu	a t ɤ ́ w ɣ β z u
atɯkhe	a t ɯ k h e
atɯmbjom	a t ɯ m b j o m
atɯnɯɲɤmkhe	a t ɯ n ɯ ɲ ɤ m k h e
atɯpe	a t ɯ p e
atɯɕpaʁ	a t ɯ ɕ p a ʁ
atɯɕɤt	a t ɯ ɕ ɤ t
atɯɣa	a t ɯ ɣ a
atɯɣɤtɕa	a t ɯ ɣ ɤ t ɕ a
atɯɤχsɯko	a t ɯ ɤ χ s ɯ k o
awo	a w o
awoju	a w o j u
awɤmɯ	a w ɤ m ɯ
axinniang	a x i n n i a n g
axtsa	a x t s a
axtɤfka	a x t ɤ f k a
axuefei	a x u e f e i
aznɤkharnɯ	a z n ɤ k h a r n ɯ
aŋgru	a ŋ g r u
aɕkat	a ɕ k a t
aɕkɤndɤm	a ɕ k ɤ n d ɤ m
aɕpɯmtama	a ɕ p ɯ m t a m a
aɕpɯsia	a ɕ p ɯ s i a
aɕtɤtɯmɯrki	a ɕ t ɤ t ɯ m ɯ r k i
aɕtɤtɯnɯrdoʁ	a ɕ t ɤ t ɯ n ɯ r d o ʁ
aɕɤrɯ	a ɕ ɤ r ɯ
aɕɤt	a ɕ ɤ t
aɣi	a ɣ i
aɣrɤɣum	a ɣ r ɤ ɣ u m
aɣɯjɤkɯsɯɣea	a ɣ ɯ j ɤ k ɯ s ɯ ɣ e a
aɣɯjɤtɯnɯrunɯ	a ɣ ɯ j ɤ t ɯ n ɯ r u n ɯ
aɣɯmdzu	a ɣ ɯ m d z u
aɣɯrni	a ɣ ɯ r n i
aɣɯrʑɯrʑɯɣ	a ɣ ɯ r ʑ ɯ r ʑ ɯ ɣ
aɣɯtɤkɯndzaa	a ɣ ɯ t ɤ k ɯ n d z a a
aɣɯxɕɤt	a ɣ ɯ x ɕ ɤ t
aɣɯɣli	a ɣ ɯ ɣ l i
aɬɤndʐi	a ɬ ɤ n d ʐ i
aɲarndzɯm	a ɲ a r n d z ɯ m
aʁa	a ʁ a
aʁandɯndɤt	a ʁ a n d ɯ n d ɤ t
aʁla	a ʁ l a
aʁmaʁmi	a ʁ m a ʁ m i
aʁo	a ʁ o
aʁrɯʁru	a ʁ r ɯ ʁ r u
aʁɤri	a ʁ ɤ r i
aʑi	a ʑ i
aʑmɤɕkɤtɯɤmdzɯ	a ʑ m ɤ ɕ k ɤ t ɯ ɤ m d z ɯ
aβleβle	a β l e β l e
aβzaŋlɤn	a β z a ŋ l ɤ n
aβzeji	a β z e j i
aβɣa	a β ɣ a
aχtɯrca	a χ t ɯ r c a
babai	b a b a i
bahuanji	b a h u a n j i
baihehua	b a i h e h u a
baijiu	b a i j i u
baishu	b a i s h u
balishila	b a l i s h i l a
ban	b a n
banfa	b a n f a
bangbang	b a n g b a n g
bao	b a o
baobao	b a o b a o
baodan	b a o d a n
baoxiandai	b a o x i a n d a i
baozheng	b a o z h e n g
baozhi	b a o z h i
bashi	b a s h i
bashila	b a s h i l a
bayue	b a y u e
bei	b e i
biandanjiu	b i a n d a n j i u
bianzhi	b i a n z h i
biaozhi	b i a o z h i
bieshu	b i e s h u
bihu	b i h u
binggao	b i n g g a o
bingxiang	b i n g x i a n g
biye	b i y e
bjɯɣbjɯɣ	b j ɯ ɣ b j ɯ ɣ
bo	b o
bowuguan	b o w u g u a n
boŋboŋ	b o ŋ b o ŋ
buxiugangchahu	b u x i u g a n g c h a h u
c	c
caidao	c a i d a o
candou	c a n d o u
canjun	c a n j u n
caochonghua	c a o c h o n g h u a
ch	c h
chaj	c h a j
chaji	c h a j i
changxi	c h a n g x i
chao	c h a o
chaŋskɯ	c h a ŋ s k ɯ
che	c h e
chengshi	c h e n g s h i
chishu	c h i s h u
chokɤrɕoci	c h o k ɤ r ɕ o c i
chokɤβzuci	c h o k ɤ β z u c i
cholɤt	c h o l ɤ t
cholɤtnɯ	c h o l ɤ t n ɯ
chongqing	c h o n g q i n g
chonɯɬoʁ	c h o n ɯ ɬ o ʁ
chorku	c h o r k u
chouchong	c h o u c h o n g
chouchou	c h o u c h o u
chowxtinɯ	c h o w x t i n ɯ
chuanjiang	c h u a n j i a n g
chuanshuo	c h u a n s h u o
chufang	c h u f a n g
chuju	c h u j u
chujuhua	c h u j u h u a
chunmao	c h u n m a o
chunyuangen	c h u n y u a n g e n
chusan	c h u s a n
chuyi	c h u y i
chɣa	c h ɣ a
chɤcɯ	c h ɤ c ɯ
chɤdi	c h ɤ d i
chɤfkaβndʑi	c h ɤ f k a β n d ʑ i
chɤfkɯm	c h ɤ f k ɯ m
chɤjindʑi	c h ɤ j i n d ʑ i
chɤjoʁ	c h ɤ j o ʁ
chɤkro	c h ɤ k r o
chɤkɤrŋici	c h ɤ k ɤ r ŋ i c i
chɤkɤβzuci	c h ɤ k ɤ β z u c i
chɤlwoʁ	c h ɤ l w o ʁ
chɤmar	c h ɤ m a r
chɤmbɣaʁ	c h ɤ m b ɣ a ʁ
chɤmdɯ	c h ɤ m d ɯ
chɤmkɯm	c h ɤ m k ɯ m
chɤmtsaʁ	c h ɤ m t s a ʁ
chɤmɟa	c h ɤ m ɟ a
chɤn	c h ɤ n
chɤndondʑi	c h ɤ n d o n d ʑ i
chɤndʐaβ	c h ɤ n d ʐ a β
chɤnɤqharu	c h ɤ n ɤ q h a r u
chɤnɤrko	c h ɤ n ɤ r k o
chɤnɤstɤr	c h ɤ n ɤ s t ɤ r
chɤnɯ	c h ɤ n ɯ
chɤnɯlɤt	c h ɤ n ɯ l ɤ t
chɤnɯmqlaʁ	c h ɤ n ɯ m q l a ʁ
chɤnɯmɤku	c h ɤ n ɯ m ɤ k u
chɤnɯndo	c h ɤ n ɯ n d o
chɤnɯpa	c h ɤ n ɯ p a
chɤnɯrkundʑi	c h ɤ n ɯ r k u n d ʑ i
chɤnɯrtsɯ	c h ɤ n ɯ r t s ɯ
chɤnɯsthɯt	c h ɤ n ɯ s t h ɯ t
chɤnɯʑmbri	c h ɤ n ɯ ʑ m b r i
chɤnɯβzu	c h ɤ n ɯ β z u
chɤnɯχsundʑi	c h ɤ n ɯ χ s u n d ʑ i
chɤphɯɣnɯ	c h ɤ p h ɯ ɣ n ɯ
chɤr	c h ɤ r
chɤraʁ	c h ɤ r a ʁ
chɤrgandʑi	c h ɤ r g a n d ʑ i
chɤrgɤz	c h ɤ r g ɤ z
chɤrkundʑi	c h ɤ r k u n d ʑ i
chɤrtaʁ	c h ɤ r t a ʁ
chɤrzi	c h ɤ r z i
chɤrɟɯrɟɯɣ	c h ɤ r ɟ ɯ r ɟ ɯ ɣ
chɤrɤrɟit	c h ɤ r ɤ r ɟ i t
chɤstandʑi	c h ɤ s t a n d ʑ i
chɤsthoʁ	c h ɤ s t h o ʁ
chɤsti	c h ɤ s t i
chɤsɤmtɕoʁ	c h ɤ s ɤ m t ɕ o ʁ
chɤsɤrʁɯrʁu	c h ɤ s ɤ r ʁ ɯ r ʁ u
chɤsɤwɯwum	c h ɤ s ɤ w ɯ w u m
chɤsɯlɤt	c h ɤ s ɯ l ɤ t
chɤsɯmtshɤtndʑi	c h ɤ s ɯ m t s h ɤ t n d ʑ i
chɤsɯxɕe	c h ɤ s ɯ x ɕ e
chɤtanɯ	c h ɤ t a n ɯ
chɤti	c h ɤ t i
chɤtɯrgɤz	c h ɤ t ɯ r g ɤ z
chɤtɯwxtinɯ	c h ɤ t ɯ w x t i n ɯ
chɤwɯwumnɯ	c h ɤ w ɯ w u m n ɯ
chɤzmɤɕindʑi	c h ɤ z m ɤ ɕ i n d ʑ i
chɤznɤmɲole	c h ɤ z n ɤ m ɲ o l e
chɤznɤstɤr	c h ɤ z n ɤ s t ɤ r
chɤznɤʁaʁ	c h ɤ z n ɤ ʁ a ʁ
chɤznɤʁaʁnɯ	c h ɤ z n ɤ ʁ a ʁ n ɯ
chɤzrɤɕi	c h ɤ z r ɤ ɕ i
chɤzɣɯtnɯ	c h ɤ z ɣ ɯ t n ɯ
chɤŋga	c h ɤ ŋ g a
chɤɕar	c h ɤ ɕ a r
chɤɕendʑi	c h ɤ ɕ e n d ʑ i
chɤɕkɯt	c h ɤ ɕ k ɯ t
chɤɕkɯtnɯ	c h ɤ ɕ k ɯ t n ɯ
chɤɕthɯz	c h ɤ ɕ t h ɯ z
chɤɣe	c h ɤ ɣ e
chɤɣindʑi	c h ɤ ɣ i n d ʑ i
chɤɣinɯ	c h ɤ ɣ i n ɯ
chɤɣɤmɯt	c h ɤ ɣ ɤ m ɯ t
chɤɣɤtɯɣ	c h ɤ ɣ ɤ t ɯ ɣ
chɤɣɤwu	c h ɤ ɣ ɤ w u
chɤɣɯt	c h ɤ ɣ ɯ t
chɤʑŋga	c h ɤ ʑ ŋ g a
chɤ́wɣmqlaʁ	c h ɤ ́ w ɣ m q l a ʁ
chɤ́wɣndzanɯ	c h ɤ ́ w ɣ n d z a n ɯ
chɤ́wɣphaʁ	c h ɤ ́ w ɣ p h a ʁ
chɤ́wɣsɯxɕe	c h ɤ ́ w ɣ s ɯ x ɕ e
chɤ́wɣtsɯm	c h ɤ ́ w ɣ t s ɯ m
chɤ́wɣznɤʁaʁndʑi	c h ɤ ́ w ɣ z n ɤ ʁ a ʁ n d ʑ i
chɤ́wɣznɤʁaʁnɯ	c h ɤ ́ w ɣ z n ɤ ʁ a ʁ n ɯ
chɤ́wɣznɯcaχtonɯ	c h ɤ ́ w ɣ z n ɯ c a χ t o n ɯ
chɤβdendʑi	c h ɤ β d e n d ʑ i
chɤβzunɯ	c h ɤ β z u n ɯ
chɯchɯtʂot	c h ɯ c h ɯ t ʂ o t
chɯdo	c h ɯ d o
chɯfkaβ	c h ɯ f k a β
chɯjndʐɤz	c h ɯ j n d ʐ ɤ z
chɯkhɤt	c h ɯ k h ɤ t
chɯkɤkhɤt	c h ɯ k ɤ k h ɤ t
chɯkɤnɤma	c h ɯ k ɤ n ɤ m a
chɯkɤrku	c h ɯ k ɤ r k u
chɯkɤsɯβzu	c h ɯ k ɤ s ɯ β z u
chɯkɤɣɤmɯt	c h ɯ k ɤ ɣ ɤ m ɯ t
chɯkɯmdɯ	c h ɯ k ɯ m d ɯ
chɯkɯmtshi	c h ɯ k ɯ m t s h i
chɯkɯndo	c h ɯ k ɯ n d o
chɯkɯndza	c h ɯ k ɯ n d z a
chɯkɯnɤma	c h ɯ k ɯ n ɤ m a
chɯkɯnɯmbjɯm	c h ɯ k ɯ n ɯ m b j ɯ m
chɯkɯnɯrku	c h ɯ k ɯ n ɯ r k u
chɯkɯnɯβzu	c h ɯ k ɯ n ɯ β z u
chɯkɯqraʁ	c h ɯ k ɯ q r a ʁ
chɯkɯrgɤz	c h ɯ k ɯ r g ɤ z
chɯkɯru	c h ɯ k ɯ r u
chɯkɯrɤpɯ	c h ɯ k ɯ r ɤ p ɯ
chɯkɯrɤrɟit	c h ɯ k ɯ r ɤ r ɟ i t
chɯkɯrɤɕtʂat	c h ɯ k ɯ r ɤ ɕ t ʂ a t
chɯkɯrɲɟi	c h ɯ k ɯ r ɲ ɟ i
chɯkɯsɯɣe	c h ɯ k ɯ s ɯ ɣ e
chɯkɯzri	c h ɯ k ɯ z r i
chɯkɯɤmtɕɯmtɕoʁ	c h ɯ k ɯ ɤ m t ɕ ɯ m t ɕ o ʁ
chɯkɯɤɕɯɕrɤz	c h ɯ k ɯ ɤ ɕ ɯ ɕ r ɤ z
chɯkɯβzunɯ	c h ɯ k ɯ β z u n ɯ
chɯkɯχtɤr	c h ɯ k ɯ χ t ɤ r
chɯlɤtɲɯɕti	c h ɯ l ɤ t ɲ ɯ ɕ t i
chɯmbɯt	c h ɯ m b ɯ t
chɯmda	c h ɯ m d a
chɯmpɕɤr	c h ɯ m p ɕ ɤ r
chɯmtsaʁ	c h ɯ m t s a ʁ
chɯmɤɕi	c h ɯ m ɤ ɕ i
chɯmɤɕia	c h ɯ m ɤ ɕ i a
chɯmɤɕinɯ	c h ɯ m ɤ ɕ i n ɯ
chɯndzɤtshi	c h ɯ n d z ɤ t s h i
chɯndɤm	c h ɯ n d ɤ m
chɯndʐaβ	c h ɯ n d ʐ a β
chɯnɤmandʑi	c h ɯ n ɤ m a n d ʑ i
chɯnɤndɯndonɯ	c h ɯ n ɤ n d ɯ n d o n ɯ
chɯnɤqe	c h ɯ n ɤ q e
chɯnɤqhɤŋganɯ	c h ɯ n ɤ q h ɤ ŋ g a n ɯ
chɯnɤrme	c h ɯ n ɤ r m e
chɯnɤrɯra	c h ɯ n ɤ r ɯ r a
chɯnɤsci	c h ɯ n ɤ s c i
chɯnɤɕ	c h ɯ n ɤ ɕ
chɯnɤʁɯmʁaʁndʑi	c h ɯ n ɤ ʁ ɯ m ʁ a ʁ n d ʑ i
chɯnɯfkɯfkur	c h ɯ n ɯ f k ɯ f k u r
chɯnɯkona	c h ɯ n ɯ k o n a
chɯnɯlɤtnɯ	c h ɯ n ɯ l ɤ t n ɯ
chɯnɯndze	c h ɯ n ɯ n d z e
chɯnɯndzɤtshi	c h ɯ n ɯ n d z ɤ t s h i
chɯnɯphɯtnɯ	c h ɯ n ɯ p h ɯ t n ɯ
chɯnɯrqhuj	c h ɯ n ɯ r q h u j
chɯnɯrtɕhɯɴɢɯɴɢaʁ	c h ɯ n ɯ r t ɕ h ɯ ɴ ɢ ɯ ɴ ɢ a ʁ
chɯnɯrɤŋgɯm	c h ɯ n ɯ r ɤ ŋ g ɯ m
chɯnɯrʁe	c h ɯ n ɯ r ʁ e
chɯnɯsroʁmbrɤt	c h ɯ n ɯ s r o ʁ m b r ɤ t
chɯnɯsɯlɤtnɯ	c h ɯ n ɯ s ɯ l ɤ t n ɯ
chɯnɯsɯmɯzdɯɣ	c h ɯ n ɯ s ɯ m ɯ z d ɯ ɣ
chɯnɯsɯβzunɯ	c h ɯ n ɯ s ɯ β z u n ɯ
chɯnɯtɕɤt	c h ɯ n ɯ t ɕ ɤ t
chɯnɯwxti	c h ɯ n ɯ w x t i
chɯnɯɕtʂat	c h ɯ n ɯ ɕ t ʂ a t
chɯnɯɣmbɤβnɯ	c h ɯ n ɯ ɣ m b ɤ β n ɯ
chɯnɯɣɯtnɯ	c h ɯ n ɯ ɣ ɯ t n ɯ
chɯnɯʁɤri	c h ɯ n ɯ ʁ ɤ r i
chɯnɯʁɤria	c h ɯ n ɯ ʁ ɤ r i a
chɯnɯβzu	c h ɯ n ɯ β z u
chɯnɯχsundʑi	c h ɯ n ɯ χ s u n d ʑ i
chɯnɯχsunɯ	c h ɯ n ɯ χ s u n ɯ
chɯnɯχɕoʁ	c h ɯ n ɯ χ ɕ o ʁ
chɯpe	c h ɯ p e
chɯphɯta	c h ɯ p h ɯ t a
chɯprɤt	c h ɯ p r ɤ t
chɯpɕiz	c h ɯ p ɕ i z
chɯpɣaʁ	c h ɯ p ɣ a ʁ
chɯqandʐi	c h ɯ q a n d ʐ i
chɯqhrɯt	c h ɯ q h r ɯ t
chɯqraʁa	c h ɯ q r a ʁ a
chɯqrɤznɯ	c h ɯ q r ɤ z n ɯ
chɯraʁrɯznɯ	c h ɯ r a ʁ r ɯ z n ɯ
chɯraχtɯtsɣe	c h ɯ r a χ t ɯ t s ɣ e
chɯrgɤz	c h ɯ r g ɤ z
chɯrgɤznɯ	c h ɯ r g ɤ z n ɯ
chɯrko	c h ɯ r k o
chɯrku	c h ɯ r k u
chɯrkunɯŋu	c h ɯ r k u n ɯ ŋ u
chɯru	c h ɯ r u
chɯrɟɯɣ	c h ɯ r ɟ ɯ ɣ
chɯrɤcɤβ	c h ɯ r ɤ c ɤ β
chɯrɤrɟit	c h ɯ r ɤ r ɟ i t
chɯrɤsta	c h ɯ r ɤ s t a
chɯrɤʑi	c h ɯ r ɤ ʑ i
chɯrɯrɟaŋrɟaza	c h ɯ r ɯ r ɟ a ŋ r ɟ a z a
chɯrɯβzunɯ	c h ɯ r ɯ β z u n ɯ
chɯrɲɟi	c h ɯ r ɲ ɟ i
chɯrʁenɯ	c h ɯ r ʁ e n ɯ
chɯsloʁ	c h ɯ s l o ʁ
chɯspoʁ	c h ɯ s p o ʁ
chɯsqanɯ	c h ɯ s q a n ɯ
chɯsqarcɯm	c h ɯ s q a r c ɯ m
chɯsta	c h ɯ s t a
chɯste	c h ɯ s t e
chɯsthɯt	c h ɯ s t h ɯ t
chɯstinɯ	c h ɯ s t i n ɯ
chɯsɤfɕɤranɯ	c h ɯ s ɤ f ɕ ɤ r a n ɯ
chɯsɤmtɕhoʁnɯ	c h ɯ s ɤ m t ɕ h o ʁ n ɯ
chɯsɤtaʁtaʁ	c h ɯ s ɤ t a ʁ t a ʁ
chɯsɤznɯɬoʁ	c h ɯ s ɤ z n ɯ ɬ o ʁ
chɯsɤzɣɯt	c h ɯ s ɤ z ɣ ɯ t
chɯsɤɣnda	c h ɯ s ɤ ɣ n d a
chɯsɤʁɟe	c h ɯ s ɤ ʁ ɟ e
chɯsɯjɣata	c h ɯ s ɯ j ɣ a t a
chɯsɯlɤt	c h ɯ s ɯ l ɤ t
chɯsɯndama	c h ɯ s ɯ n d a m a
chɯsɯqraʁa	c h ɯ s ɯ q r a ʁ a
chɯsɯste	c h ɯ s ɯ s t e
chɯsɯsɤm	c h ɯ s ɯ s ɤ m
chɯsɯtʂaβnɯ	c h ɯ s ɯ t ʂ a β n ɯ
chɯsɯtʂɯβnɯ	c h ɯ s ɯ t ʂ ɯ β n ɯ
chɯsɯxsonɯ	c h ɯ s ɯ x s o n ɯ
chɯsɯɕɯftɯɣ	c h ɯ s ɯ ɕ ɯ f t ɯ ɣ
chɯsɯɣmbɤβ	c h ɯ s ɯ ɣ m b ɤ β
chɯsɯɣɲaʁnɯ	c h ɯ s ɯ ɣ ɲ a ʁ n ɯ
chɯtarku	c h ɯ t a r k u
chɯtasɯndonɯ	c h ɯ t a s ɯ n d o n ɯ
chɯtasɯβzu	c h ɯ t a s ɯ β z u
chɯtaɕɯfka	c h ɯ t a ɕ ɯ f k a
chɯte	c h ɯ t e
chɯtea	c h ɯ t e a
chɯti	c h ɯ t i
chɯtinɯ	c h ɯ t i n ɯ
chɯtshi	c h ɯ t s h i
chɯtshinɯ	c h ɯ t s h i n ɯ
chɯtshu	c h ɯ t s h u
chɯtsɣi	c h ɯ t s ɣ i
chɯtɕata	c h ɯ t ɕ a t a
chɯtɕaʁ	c h ɯ t ɕ a ʁ
chɯtɯlɤt	c h ɯ t ɯ l ɤ t
chɯtɯndzanɯ	c h ɯ t ɯ n d z a n ɯ
chɯtɯndɤm	c h ɯ t ɯ n d ɤ m
chɯtɯnɯcaχto	c h ɯ t ɯ n ɯ c a χ t o
chɯtɯnɯrɤɣo	c h ɯ t ɯ n ɯ r ɤ ɣ o
chɯtɯnɯsɯtʂɯβ	c h ɯ t ɯ n ɯ s ɯ t ʂ ɯ β
chɯtɯsci	c h ɯ t ɯ s c i
chɯtɯtɕɤt	c h ɯ t ɯ t ɕ ɤ t
chɯtɯɕe	c h ɯ t ɯ ɕ e
chɯtɯɬoʁ	c h ɯ t ɯ ɬ o ʁ
chɯtɯʑa	c h ɯ t ɯ ʑ a
chɯtɯ́wɣplɯtnɯ	c h ɯ t ɯ ́ w ɣ p l ɯ t n ɯ
chɯtʂaβnɯ	c h ɯ t ʂ a β n ɯ
chɯtʂɯlnɯ	c h ɯ t ʂ ɯ l n ɯ
chɯtʂɯβ	c h ɯ t ʂ ɯ β
chɯwɣrum	c h ɯ w ɣ r u m
chɯwɯwum	c h ɯ w ɯ w u m
chɯxtɯt	c h ɯ x t ɯ t
chɯzrɤjroʁ	c h ɯ z r ɤ j r o ʁ
chɯzrɤpɯnɯ	c h ɯ z r ɤ p ɯ n ɯ
chɯzɣɯt	c h ɯ z ɣ ɯ t
chɯɕar	c h ɯ ɕ a r
chɯɕej	c h ɯ ɕ e j
chɯɕkhɤm	c h ɯ ɕ k h ɤ m
chɯɕqhlɤt	c h ɯ ɕ q h l ɤ t
chɯɕɯfke	c h ɯ ɕ ɯ f k e
chɯɣɤrɤtnɯ	c h ɯ ɣ ɤ r ɤ t n ɯ
chɯɣɤwunɯ	c h ɯ ɣ ɤ w u n ɯ
chɯɣɯkhɯtshoʁnɯ	c h ɯ ɣ ɯ k h ɯ t s h o ʁ n ɯ
chɯɣɯt	c h ɯ ɣ ɯ t
