Reference,Prediction
le˧mo˩zo˩|le˧mo˩zo˩|le˧mo˩|hĩ˧lv̩˥|mɤ˧ʁo˧ɲi˥tsɯ˩|mv̩˩|,le˧mo˩zo˩ le˧mo˧zo˩ le˧mo˩ hĩ˧lv̩˥ mɤ˧ʁo˧ɲi˥tsɯ˩ mv̩˩
le˧pæ˧se˥hĩ˩kwɤ˩tɕɯ˩lɑ˩|hĩ˧ʈʂʰɯ˧|tʰi˩˥|ɖɯ˧v̩˧mɤ˧go˩|ɖɯ˧v̩˧mɤ˧tsʰi˧˥|,le˧pæ˧se˥kwɤ˩tɕɯ˩lɑ˩ hĩ˧ʈʂʰɯ˧ tʰi˩˥ ɖɯ˧v̩˧mɤ˧go˩ ɖɯ˧vwɤ˧mɤ˧tsʰi˧
ʂe˧|ɖɯ˧tɕʰi˩mɤ˩dzɯ˩|hĩ˧ʈʂʰɯ˧|pæ˧qʰwɤ˩|no˩˥|ɖɯ˧pʰæ˧di˩dʑo˩|ɖʐo˧|ʐwæ˩ɲi˥|,ʂe˧ ɖɯ˧tɕʰi˩mɤ˩dzɯ˩ hĩ˧ʈʂʰɯ˧ pʰæ˧qʰwɤ˩ no˩˥ ɖɯ˧bæ˧˥di˩dʑo˩ ɖʐo˧˥ ʐwæ˩ɲi˥
si˧dzi˩ʈʰæ˩qo˩|tʰi˩˥|no˧˥|hĩ˧dv̩˥kv̩˩mɤ˩kv̩˩|mɤ˧sɯ˥|tʰi˧dzɯ˥dʑo˩|ə˧tso˧ɲi˩|mɤ˧do˩|,si˧dzi˩ ʈʰæ˩qo˩ tʰi˩˥ no˧ hĩ˧ɖv̩˥kv̩˩mɤ˩kv̩˩ mɤ˧sɯ˥ tʰi˧dzɯ˥ dʑo˩ ə˧tse˧ɲi˥ mɤ˧do˩
ɲi˧tsi˧qʰv̩˧kv̩˧dʑo˧˥|dʑo˩|ɑ˩ʁo˧|ɖɯ˧tɑ˧˥|ə˧ʑi˧ɳɯ˥|tʰi˧dzi˩ktʰi˧dzi˩|ʈʂʰɯ˧ne˧ʝi˥|tʰi˧dzi˩|,ɲi˧tsi˧qʰwæ˧kv̩˧dʑo˧˥ dʑo˩ ɑ˩ʁo˧ ɖɯ˧tɑ˧˥ ə˧ʑi˧ɳɯ˥ tʰi˧dzi˩ tʰi˧dzi˩ ʈʂʰɯ˧ne˧ʝi˥ tʰi˧dzi˩
bɑ˩lɑ˩tʰi˥mv̩˩kʰɯ˩se˩|tʰi˩˥|hæ̃˧pɤ˧tʰi˧mv̩˧kʰɯ˧˥|,bɑ˩lɑ˩tʰi˥mv̩˩kʰɯ˩se˩ tʰi˩˥ hæ̃˧pɤ˧tʰi˧mv̩˧kʰɯ˧˥
ʈʰæ˧qʰwɤ˧ʈʂʰɯ˧|ʈʂe˩kʰɯ˩ʈʂʰɯ˥ɳɯ˩|ʈʂʰɯ˧ʁo˥ɳɯ˩|hĩ˧ʈʂʰɯ˧gɤ˧|tsʰɤ˧˥|ɲi˩wɤ˩|wo˧zo˥|,ʈʰæ˧qʰwɤ˧ʈʂʰɯ˧ ʈʂe˩kʰɯ˧˥ ʈʂʰɯ˧ɳɯ˧ ʈʂʰɯ˧ʁo˧ɳɯ˩ hĩ˧ʈʂʰɯ˧gɤ˧ tsʰɤ˧˥ ɲi˩wɤ˩ go˧zo˥
tʰi˩˥|ʈʂʰɯ˧ne˧ʝi˥kwɤ˩tɕɯ˩lɑ˩|ə˧mi˧|tʰi˩˥|mv̩˧di˧qo˥|hĩ˧ɳɯ˩|ʈʂʰɯ˧ne˧ʝi˥|ʐwɤ˩ɲi˥tsɯ˩|mv̩˩,tʰi˩˥ ʈʂʰɯ˧ne˧ʝi˥kwɤ˩tɕɯ˩lɑ˩ ə˧mi˧ɯ tʰi˩˥ mv̩˧di˧qo˥ hĩ˧ɳɯ˩ ʈʂʰɯ˧ne˧ʝi˥ ʐwɤ˩ɲi˥tsɯ˩ wɤ˩
ə˧ʝi˧ʂɯ˥ʝi˩|tʰi˩˥|nɑ˩hɑ˥dʑo˩|no˧ɳɯ˧|pi˧ni˧˥|nɑ˩hɑ˥dʑo˩|ə˧mɑ˧ɳɯ˧|pi˧ni˧˥|zo˩|,ə˧ʝi˧ʂɯ˥ʝi˩ tʰi˩˥ nɑ˩hɑ˥dʑo˩ no˧ɳɯ˧ pi˧ni˧˥ nɑ˩hɑ˥dʑo˩ ə˧mɑ˧ɳɯ˧ pi˧ni˧˥ wo˩˥
zo˩no˥əəə…|ʐwæ˧tɕɯ˩hĩ˩|ɖɯ˧pi˧˥|hɤ˩hĩ˩˥|tʰo˩lo˥|ɻ̍˩ɻ̍˧lo˩|pi˧|di˩hĩ˩˥|dʑo˩|tsʰo˧pæ˧mv̩˥ʈʂæ˩kv̩˩mæ˩|,zo˩no˥ ə… ʐwæ˧tɕɯ˩ ɖɯ˧pi˧˥ hɤ˩hĩ˩˥ tʰo˩lo˥ ɻ̍˧ɻ̍˧lo˩ pi˧ di˩hĩ˩dʑo˩ tsʰo˧pæ˧mv̩˥ʈʂæ˩ɣkv̩˩mæ˩
tʰi˩˥|ʈʂʰɯ˧ne˧ʝi˥se˩dʑo˩|ə˧ʝi˧ʂɯ˥ʝi˩|njɤ˧|ə˧si˧|ʈʂʰɯ˧dʑo˩|zo˩no˥|hĩ˧ɻæ˥|ʁwɤ˧qo˧|ʈʂʰɯ˧ne˧ʝi˥|pi˧kv̩˩|,tʰi˩˥ ʈʂʰɯ˧ne˧ʝi˥tsʰɯ˩dʑo˩ ə˧ʝi˧ʂɯ˥ʝi˩ njɤ˧ ə˧si˧ʈʂʰɯ˥dʑo˩ zo˩no˥ hĩ˧ɻæ˥ ʁwɤ˧qo˥ ʈʂʰɯ˧ne˧ʝi˥ pi˧kv̩˩
no˧sɯ˩kv̩˩|njɤ˧ɳnjɤ˧ki˧gɤ˩|ʈʂʰɯ˧ne˧ʝi˥|æ˧ʝi˩kʰɯ˩tsʰɯ˩ze˩|pi˧zo˩|ʈʂʰɯ˧ne˧ʝi˥|pi˧kv̩˩tsɯ˩|mv̩˩,no˧sɯ˩kv̩˩ njɤ˧ɲi njɤ˧ki˧bi˩ ʈʂʰɯ˧ne˧ʝi˥ æ˧ʝi˩kʰɯ˩tsʰɯ˩ze˩ pi˧zo˩ ʈʂʰɯ˧ne˧ʝi˥ pi˧kv̩˩tsɯ˩ mv̩˩
zo˩no˥|hĩ˧|le˧ʂɯ˧|ɖɯ˧tɑ˧˥|ʂɯ˧tso˧lɑ˩ɲi˩|ə˧mi˧|le˧ʂɯ˧|njɤ˧|ʂɯ˧tso˧lɑ˩ɲi˩|pi˧|,ə˩nie˩ hĩ˧ le˧ʂɯ˧ ɖɯ˧tɑ˧˥ ʂɯ˧tso˧lɑ˩ ə˧mi˧ le˧ʂe˧njɤ˧ ʂɯ˧tsɯ˧lɑ˩ɲi˩ pi˧
li˩ʈʂwæ˧ɻ̍˧pi˥|,li˩ʈʂwæ˧ɻ̍˧pi˥
ʐɤ˩mi˩˥|no˩qo˥hɑ̃˩lɑ˩ɲi˩|dʑɯ˩ʁo˩˥|,ʐɤ˩mi˩˥ no˩qo˧hɑ̃˩lɑ˩ɲi˩ dʑɯ˩ʁo˩˥
ʈʂʰɯ˧ɻ̍˩|tɕʰi˩tʰv̩˩tso˥ɲi˩tsɯ˩|ʈʂʰɯ˧ɻ̍˩|zo˧ɖɯ˧ɳɯ˥|tɕʰi˩tʰv̩˩tso˥ɲi˩tsɯ˩|ə˧sɯ˩kv̩˩|bi˧zo˧ʝi˧|pi˧|,ʈʂʰɯ˧ tɕʰi˩tʰv̩˩tso˥ɲi˩tsɯ˩ ʈʂʰɯ˧ zo˧ɖɯ˧ɳɯ˥ tɕʰi˩tʰv̩˧tso˥ɲi˩tsɯ˩ ə˧sɯ˩kv̩˩ bi˧zo˧ʝi˥ pi˧
tʰi˩˥|əəə…əəə…ɑ˩ʁo˧le˧jo˩kv̩˩mæ˩|tʰi˩˥|,tʰi˩˥ ə…ɑ˩ʁo˧le˧jo˩kv̩˩mæ˩ tʰi˩˥
kʰɤ˧˥|tʰi˧pɤ˥pɤ˩|dʑɯ˩ʁo˩˥|di˩li˩ʁo˩bv̩˥|le˧ɖʐɤ˧le˥po˩tsʰɯ˩|le˧tɕɤ˧˥|le˧tɕɤ˧˥|,kʰɤ˧˥ tʰi˧pɤ˥pɤ˩ dʑɯ˩ʁo˩˥ di˩li˩ʁo˩bv̩˥ le˧ɖʐɤ˧le˥po˩tsʰɯ˩ le˧tɕɤ˧˥ le˧tɕɤ˧˥
tɕi˩hĩ˩ki˥|ʈʂʰɯ˧ne˧ʝi˥|ɖɯ˧ʈv̩˩|ʈʂʰɯ˧hwɤ˧mi˧|ʈʂʰɯ˧ne˧ʝi˥|ɖɯ˧ʈv̩˩|,tɕi˩hĩ˩ki˥ ʈʂʰɯ˧ne˧ʝi˥ ɖɯ˧ʈv̩˩ ʈʂʰo˧hwɤ˧mi˧ ʈʂʰɯ˧ne˧ʝi˥ ɖɯ˧ʈv̩˩
hĩ˧mo˩tɕɯ˩di˩ɲi˩|pi˧|dv̩˩pʰæ˧tɕɯ˧|,hĩ˧ mo˩tɕɯ˩di˩ɲi˩ pi˧ dv̩˩pʰæ˧tɕɯ˥
ə˧mi˧|mv̩˩zo˩˥|ɖɯ˧ɭɯ˧|ə˧mi˧ɖɯ˧jɤ˧˥dʑo˩|bo˩hɑ˧ki˩dʑo˩dʑo˩|,ə˧mi˧ mv̩˩zo˥ ɖɯ˧ɭɯ˧ ə˧mi˧ ɖɯ˧ʝiɤ˥ dʑo˩ bo˩hɑ˧ki˩ʈʂʑɯ˩dʑo˩
ʈʂʰɯ˧hwɤ˧hwɤ˧gv̩˧kv̩˩mv̩˩|,ʈʂʰɯ˧ ho˧ho˧go˧kv̩˩mæ˩
əəə…ɑ˩ʁo˧|tɕɯ˧ɲi˥ze˩mæ˩|ɑ˩ʁo˧|le˧tɕɯ˧se˥dʑo˩|tʰi˩˥|ʝi˧lv̩˧kv̩˥ze˩mæ˩|,əə…ɑ˩ʁo˧tɕɯ˧ɲi˥ze˩mæ˩ ɑ˩ʁo˧ le˧tɕɯ˧se˥dʑo˩ tʰi˩˥ ʝi˧lv̩˧kv̩˥ze˩mæ˩
ʐv̩˧tsʰi˩gv̩˩hɑ̃˩gv̩˩|ɖɯ˧ɲi˥kwɤ˩tɕɯ˩lɑ˩|tʰi˩˥|le˧bv̩˧bv̩˧|,ʐv̩˧tsʰi˩gv̩˩hɑ̃˩gv̩˩ĩ˩ɖɯ˧ɲi˥kwɤ˩tɕɯ˩lɑ˩ tʰi˩˥ le˧bv̩˧bv̩˥
lo˧ʝi˧|lo˧tʰv̩˧|ɖʐe˧ʂe˧|ɖʐe˧ɖɯ˧|go˩bo˧ʐɤ˩|go˩bo˧dʑɤ˩kʰɯ˩|,lo˧ʝi˧ lo˧tʰv̩˧ ɖʐe˧ʂe˧ ɖʐe˧ɖɯ˧ go˩bo˧ʐɤ˩ go˩bo˥dʑɤ˩kʰɯ˩
tʰi˩˥|ʈʂʰɯ˧ne˧ʝi˥se˩dʑo˩|tʰi˩˥|tsʰe˩so˩kʰv̩˩gv̩˩ze˥|pi˧|tʰi˩˥|dʑi˧hṽ˧hwæ˩kv̩˩ze˩|,tʰi˩˥ ʈʂʰɯ˧ne˧ʝi˥se˩dʑo˩ tʰi˩˥ tsʰe˩so˩kʰv̩˩gv̩˩ze˥ pi˧ tʰi˩˥ dʑi˧hṽ˧ hwæ˩kv̩˩ze˩
əəə…mv̩˧ʁo˥ki˩ɳɯ˩|gɤ˧gɤ˧lɑ˧ɳɯ˧|mɤ˧ki˧hĩ˧hɑ˧dʑo˩|mvgɤ˧lɑ˧ki˧|ki˧mɤ˧ɖo˧|pi˧zo˩|,əə…mv̩˩ʁo˥ki˩ ɳggɤ˧lɑ˧ɳɯ˧ mɤ˧ki˧hĩ˧hɑ˧dʑo˩ mv̩˧gɤ˧lɑ˧ki˧ ki˧mɤ˧ɖo˧ pi˧zo˩
tʰi˧ʈʂʰv̩˧tsɯ˥|mv̩˩|tʰi˧ʈʂʰv̩˧dʑo˥|tʰi˧ʈʂʰv̩˧˥|njɤ˧ə˧mv̩˩ɲi˩|no˧njɤ˧ə˧mv̩˩ɲi˩|pi˧dʑo˩|tʰi˩˥|,tʰi˧ʈʂʰɻ̩˧tsɯ˥ mv̩˩ tʰi˧ʈʂʰɻɯ˥ dʑo˩ tʰi˧˥ʈʂwɤ˩ njɤ˧ ə˧mv̩˩ɲi˩ɳɯ˩ njɤ˧ ə˧mv̩˩ɲi˩ pi˩dʑo˩ tʰi˩˥
zo˧mv̩˥zo˩|ɖɯ˧v̩˧ki˧ɳɯ˩|dʑi˧hṽ̩˧ɖɯ˧dzi˩|əəə…mv̩˩zɯ˩ni˥mi˩|no˩sɯ˧kv̩˥|ə˧mmm…ə˧mi˧ki˧|dʑi˧hṽ̩˥|ʈʰæ˧qʰwɤ˧|go˧mi˧ki˧|ʈʰæ˧qʰwɤ˧|ə˧mv̩˩ki˩|ʈʰæ˧qʰwɤ˧|,zo˧mv̩˥zo˩ ɖɯ˧v̩˧ki˧ɳɯ˩ dʑi˧hṽ̩˧ ɖɯ˧dzi˩ əə…mv̩˩zɯ˩ni˥mi˩ no˩sɯ˧kv̩˥ ə˧m…ə˧mi˧ki˧ dʑi˩hṽ̩˩˥ ʈʰæ˧qʰwɤ˧ go˧mi˧ki˧ ʈʰæ˧qʰwɤ˧ ə˧mv̩˩ki˩ ʈʰæ˧qʰwɤ˧
ɲi˩ɳɯ˥|ə˧tso˧dʑɤ˩kv̩˩pi˩hĩ˩|tʰv̩˧kʰwɤ˥dʑo˩|ʈʰææ̃˧|tʰi˧tɕɯ˥|,ɲi˩ɳɯ˥ ə˧tso˧dʑɤ˩kv̩˩pi˩hĩ˩ tʰv̩˧kʰwɤ˥dʑo˩ tʰææ̃˧ tʰi˧tɕɯ˥
ʐɯ˧po˧jo˥kv̩˩|ŋv̩˩po˩jo˩kv̩˥|pɤ˩jɤ˧po˥jo˩kv̩˩|ʈʂʰɯ˧ne˧ʝi˥|po˧tsʰɯ˧˥|tʰi˩˥|ʈʂʰɯ˧sɯ˩kv̩˩|qo˩ho˧qo˥|wɤ˩˥|le˧wo˥|li˩tʰi˥kʰɯ˩|,ʐɯ˧po˧jo˥kv̩˩ ŋv̩˩po˩jo˩kv̩˥ pɤ˩jɤ˧po˥jo˩kv̩˩ ʈʂʰɯ˧ne˧ʝi˥ po˧tsʰɯ˧˥ tʰi˩˥ ʈʂʰɯ˧sɯ˩kv̩˩ qo˩ho˧qo˥ wɤ˩˥ le˧wo˥ li˩tʰi˥kʰɯ˩
tʰi˩˥|tsɤ˧ʝi˧|pi˧hĩ˧ʈʂʰɯ˧dʑo˩|tʰi˩˥|əəə…njæ˧sɯ˩kv̩˩bv̩˩|ɬi˧ki˥ʈʰæ˩ki˩|tsʰe˩so˩kʰv̩˩hĩ˥ʈʂʰɯ˩dʑo˩|no˧|tʰi˧tɕɯ˥|,tʰi˩˥ tsɤ˧ʝi˧ pi˧hĩ˧ ʈʂʰɯ˧dʑo˩ tʰi˩˥ əə…njæ˧sɯ˩kv̩˩ bv̩ɬi˧ki˥ʈʰæ˩ki˩ tsʰe˩so˩kʰv̩˩hi˥hĩ˥ ʈʂʰɯ˩dʑo˩ no˧˥ tʰi˧tɕɯ˥
wɤ˩˥|ɖɯ˧v̩˧tsʰɯ˩|ɖɯ˧ʂɯ˩ti˩|õ˧ʈʂʰɯ˧ne˧ʝi˥|zo˩|tʰi˩˥|no˩˥|mmm…ɬi˧ki˥ʈʰæ˩ki˩dʑo˩|ʈʂʰɯ˧ne˧ʝi˥kv̩˩mæ˩|,wɤ˩˥ ɖɯ˧v̩˧tsʰɯ˩ ɖɯ˧ʂɯ˩ti˩ õ˧ʈʂʰɯ˧ne˧ʝi˥zo˩ tʰi˩˥ no˧ mm…kʰi˩ki˥ʈʰæ˩tɕi˩dʑo˩ ʈʂʰɯ˧ne˧ʝi˥kv̩˩mæ˩
əəə|tʰi˩˥|hĩ˧ɻæ˥|ə˧mi˧ɻæ˩ɳɯ˩|ʈʂʰɯ˧ɻæ˩qo˩|tʰi˧dzi˩|,əətʰi˩ hĩ˧ɻæ˥ ə˧mi˧ɻæ˩ɳɯ˩ ʈʂʰɯ˧ɻɑ˩qo˧ tʰi˧dzi˩
le˧ɬi˧ɲi˥ze˩mæ˩|,le˧ɬi˧ɲi˥ze˩mæ˩
mv̩˩pʰæ˧bi˧|kʰi˧|ɖɯ˧pɤ˩tʰi˩di˩|,mv̩˩pʰæ˧bi˧ kʰi˧ ɖɯ˧pɤ˧tʰi˥di˩
ʐæ˩˥|dʑo˩|ə˧mi˧ʈʰæ˧kv̩˥|lɑ˧dʑo˧|ə˧dɑ˥ʈʰæ˩kv̩˩|no˧|ɖwæ˩mɤ˧zo˧|,ʐæ˩˥ dʑo˩ ə˧mi˧ʈʰæ˧kv̩˥ lɑ˧dʑo˧ ə˧dɑ˥ʈʰæ˩kv̩˩ no˧ ɖwæ˩mɤ˧zo˧
tʰv̩˧|le˧ʈʂʰv̩˩pi˩|əəə…dzi˧dzi˧ʈʰæ˧qo˩di˩hĩ˩ɖʐɤ˩kv̩˩mv̩˩|,tʰv̩˧ le˧ʈʂʰv̩˩pi˩ əə…dʑɯ˧dzi˧ʈʰæ˧qo˩di˩hĩ˩ ɖʐɤ˩kv̩˥ mvæ˩
nɑ˩tsʰi˩˥|əəə…nɑ˩tsʰi˩tɕʰɤ˩pɤ˩mi˥dʑɯ˩lɑ˩|qv̩˧ɻ̍˧ʈʂʰæ˧nɑ˥pi˩hĩ˩ʈʂʰɯ˩|tʰv̩˧qo˧ɳɯ˧|tʰv̩˧neʝi˥|le˧tsʰɯ˩kwɤ˩tɕɯ˩lɑ˩|tʰi˩˥|ʈʂʰæ˧nɑ˥pi˩hĩ˩tʰv̩˩|ʁɑ˩ʂɯ˧|ʈʂʰæ˧˥|ɖɯ˧pʰo˧˥|tʰi˧ʈʰi˧˥|tʰi˩˥|dʑɯ˩ʈʂʰɯ˥|dʑɤ˩ʈʂɤ˧ɲi˥tsɯ˩|mv̩˩|ə˧ʝi˧ʂɯ˥ʝi˩|,nɑ˩tsʰi˩˥ə… nɑ˩tsʰitɕʰɤ˩pɤ˩mi˩˥ dʑɯ˩lɑ˩ qv̩˧ɻ̍˧ʈʂʰæ˧nɑ˥ pi˩hĩ˩tʰv̩˩ ʈʂʰɯ˧qo˧ɳv̩˧ ʈʂʰɯ˧ne˧ʝi˥ le˧tsʰɯ˩kwɤ˩tɕɯ˩lɑ˩ tʰi˩˥ ʈʂʰæ˧nɑ˥pi˩hĩ˩ʈʂʰɯ˩ʁɑ˩ʂɯ˧ ʈʂʰæ˧˥ ɖɯ˧pʰo˧tʰi˧ʈʰi˥ tʰi˩˥ dʑɯ˩ʈʂʰɯ˥ dʑɤ˩ʈʂɤ˧ɲi˥tsɯ˩ mv̩˩ ə˧ʝi˧ʂɯ˥ʝi˩
hɑ˧ʐwɤ˩dʑo˩|tʰi˩˥|ɖɯ˧ʑi˩ɻ̍˩dʑo˩|hĩ˧ʈʂʰɯ˧|əəə…ə˧dɑ˧ə˧mi˧ɲi˥kv̩˩|zo˧mv̩˥|dʑɤ˩so˧ɭɯ˩dʑo˩tsɯ˩|mv̩˩|,hɑ˧ʐwɤ˩ dʑo˩ tʰi˩˥ ɖɯ˧ʑi˩ɻ̍˩dʑo˩ hĩ˧ʈʂʰɯ˧ əə…ə˧dɑ˧ə˧mi˧ɲi˥kv̩˩ zo˧mv̩˥ dʑɤ˩so˧ɭɯ˧dʑo˩tsɯ˩ mv̩˩
njɤ˧ɻ̍˩|tsɤ˧ze˧|qɑ˩qɑ˧bi˧|pi˧|,njɤ˧ɻ̍˩ tsɤ˧ze˥ qwɑ˩qɑ˧bi˧ pi˧
ɖɯ˧kʰwɤ˧mv̩˥tɕo˩kʰv̩˩|ɖɯ˧kʰwɤ˧dʑo˧|ɖɯ˧kʰwɤ˧mv̩˥tɕo˩kʰv̩˩|ɖɯ˧kʰwɤ˧dʑo˧dʑo˩|tʰi˩˥|mv̩˧ʁo˧hĩ˧|ɖɯ˩hĩ˩tʰv̩˥tɕi˩ɳɯ˩|le˧sɯ˥|tʰi˩˥|le˧sɯ˥dʑo˩|tʰi˩˥|dze˧ɭɯ˧ki˧ɲi˥tsɯ˩|mv̩˩|,ɖɯ˧kʰwɤ˧mv̩˥tɕo˩kʰv̩˩ ɖɯ˧kʰwɤ˧dʑo˩ ɖɯ˧kʰwɤ˧mv̩˥tɕo˩kʰv̩˩ ɖɯ˧kʰwɤ˧dʑo˧dʑo˩ tʰi˩˥ mv̩˧ʁo˧˥ hĩ˧ ɖɯ˩hĩ˩tɕʰi˥ɳɯ˩ le˧sɯ˥ tʰi˩˥ le˧sɯ˧˥dʑo˥ tʰi˩˥ dze˧ɭɯ˧ki˧ɲi˥tsɯ˩ mv̩˩
tʰi˩˥|zo˩no˥|hĩ˧mo˥hĩ˩|ʈʂʰɯ˧ne˧ʝi˥|pi˧kv̩˩mæ˩|mɤ˧dɑ˩|ə˧pɤ˧ɖɯ˩ɳɯ˩|le˧pi˧ɲi˥|qʰv̩˩tsʰi˧kʰv̩˥gv̩˩dʑo˩|tsʰi˧si˩dʑɤ˩pv̩˩|ɖʐe˧lɑ˧ʝi˥ze˩|zo˩no˥|no˧sɯ˩kv̩˩|ɖʐe˧mɤ˧ʝi˩|pi˧kv̩˩mæ˩|njɤ˧hĩ˧mo˥ɻæ˩ɳɯ˩|,tʰi˩˥ zo˩no˥ hĩ˧mo˥hĩ˩ pi˧ki˧v˩ mɤ˧dɑ˩ ə˧pɤ˥ ɖɯ˧ɳɯ˩ le˧ti˧ɲi˥ qʰv̩˩tsʰi˧kʰv̩˥gv̩˩dʑo˩ ʈʂʰi˧se˩dʑɤ˩pv̩˩ ɖʐɯ˧hĩ˧lɑ˧ʝi˥ze˩ zo˩no˥ no˧sɯ˩kv̩˩ɖʐe˩mɤ˩ʝi˩ pi˧kv̩˩mæ˩ njɤ˧ hĩ˧mo˥ɻæ˩ɳɯ˩
ə˧ʝi˧tsʰi˧ʝi˧dʑo˩|nɑ˩dʑi˧hṽ̩˧|mɤ˧mv̩˧ze˧|,ə˧ʝi˧tsʰi˧ʝi˧dʑo˩ nɑ˩dʑo˥hṽ˧ mɤ˧mv̩˩ze˧
kʰv̩˩mi˩ɳɯ˥|ɖɯ˧tsʰo˧ɳɯ˧|ʈʂʰɯ˧|ɑ˩ʁo˧hɯ˧dʑo˥|tse˩ʈʂʰv̩˩kʰv̩˥|no˧|mv̩˩tɕo˧se˧|pi˧tsɯ˩|mv̩˩|tʰi˩˥|,kʰv̩˩mi˩ɳɯ˥ ɖɯ˧tsʰo˧ɳɯ˧ ʈʂʰɯ˧ ɑ˩ʁo˧hɯ˧dʑo˩ tse˩ʈʂʰvɯ˩kʰv̩˥ no˧ mv̩˩tɕo˧se˥ pi˧tsɯ˩ mv̩˩ tʰi˩˥
ʈʂʰɯ˧ne˧ʝi˥|le˧tɕɯ˧ɭɯ˧|le˧tɕɯ˧ɭɯ˧|ʈʂʰɯ˧ne˧ʝi˥|le˧jɤ˩|,ʈʂʰɯ˧ne˧ʝi˥ le˧tɕɯ˧˥ le˧ tsʰɯ˧hĩ˥ le˧ji˩
kʰv̩˧mæ˥ʂæ˩ɖɯ˩kʰv̩˩dʑo˩|hõ˧ɬi˧mi˧|gv̩˩ɬi˩mi˩qo˥|mo˧ʈʂʰɯ˥|ɖɯ˧pi˧˥|dʑo˧kv̩˧˥|mv̩˩|,kʰv̩˧mæ˥ʂæ˩ɖɯ˧kʰv̩˧˥dʑo˩ hõ˧ɬi˧mi˧ gv̩˩ɬi˩mi˩qo˥ mo˩˥ ʈʂʰɯ˥ ɖɯ˧pi˧˥ dʑo˩kv̩˥ mæ˩
ʈʂʰɯ˧sɬi˧di˩di˩mi˩qo˩dʑo˩|ʈʂʰɯ˧so˧ɭɯ˧|ɖwæ˧˥|ɖɯ˩ʈʂɤ˩kv̩˥mæ˩|,tsʰo˧si˥ ɬi˧di˩di˩mi˩qo˩zo˩ ʈʂʰɯ˧ so˧ɭɯ˧ ɖwæ˧˥ ɖɯ˧ʈʂɤ˧kv̩˥ mæ˩
əəə…õ˧ʈʂʰɯ˧ne˧ʝi˥zo˩|kʰɤ˧qo˥ɳɯ˩|ɖɯ˧kʰɤ˧ɖɯ˥kʰɤ˩le˩kʰɯ˩kʰɯ˩|,əə… õ˧ʈʂʰɯ˧ne˧ʝi˥zo˩ kʰɤ˧qo˥ɳɯ˩ ɖɯ˧kʰɤ˧ɖɯ˥kʰɤ˩le˩kʰɯ˩kʰɯ˩
njɤ˧mv̩˩|no˧|ə˧ʑi˧lɑ˥|ə˧pʰv̩˧ki˧|lebi˩tsæ˩ɲi˩|ɖwæ˩mɤ˧zo˧wɤ˧|pi˧ni˩zo˩|,njɤ˧mv̩˩ no˧ ə˧ʑi˧lɑ˥ ə˧pʰv̩˧ki˧ le˧bi˩tsɤ˩hĩ˩ ɖwæ˩mɤ˧zo˧ pi˧ni˧ zo˧
dʑi˧mi˧|gv̩˧wo˥pi˩kv̩˩mæ˩|,dʑi˧mi˧gv̩˧wo˥ pi˧kv̩˩mæ˩
tʰi˩˥|nɑ˩bɤ˧ʁɑ˧ɭɯ˧|tʰv̩˧qo˧ɳɯ˧dʑo˥|ə˩gi˩|mmm…zo˧mv̩˧˥|le˧pɤ˥pɤ˩|po˧bi˥|,tʰi˩˥ nɑ˩bɑ˧ ʁɑ˧ɭvɯ̩˧ tsʰo˧qo˧ɳɯ˧dʑo˥ ə˩gi˩ mm…zo˧mv̩˥ le˧pɤ˧ pɤ˧ po˧bi˥
bo˩ʈʂʰæ˧ɖɯ˧ɭɯ˧|ʈʂʰɯ˧dʑəəə…ʈʂʰɯ˧|ɖɯ˧ʈæ˧bɤ˧ki˧ki˩lɑ˩lv̩˩kv̩˩|,bo˩ʈʂʰæ˧ ɖɯ˧ɭɯ˧ ʈʂʰɯ˧ze˧ɻ̃˥ ʈʂʰɯ˧ ʈʰæ˧bɤ˧ki˧ gi˧ lɑ˧lv̩˩kv̩˩
ə˧ʝi˧ʂɯ˥ʝi˩pi˩hĩ˩tɕɤ|gɤ˩ʈʂʰɯ˧qo˧|pi˧|wɤ˩˥|njɤ˧|ə˧si˧ɳɯ˧|lo˧ɲi˥|ʈʂʰɯ˧ne˧ʝi˥|mæ˧kv̩˧˥|mv̩˩,ə˧ʝi˧ʂɯ˥ʝi˩ pi˩ dʑɤ˩gɤ˩ ʈʂʰɯ˧qo˧pi˩ wɤ˩˥ njɤ˧ ə˧si˧ɳɯlo˧ɲi˥ ʈʂʰɯ˧ne˧ʝi˥ mɤ˧kv̩˥mæ˩
zo˩no˥|əəə…zo˩no˥|ə˧ʝi˧tsʰi˧ʝi˧|tje˩ʂɯ˧qo˥gɤ˩|mv̩˧ni˧˥|hæ̃˩bɑ˥lɑ˩|ʂæ˧tsɯ˧tʰv̩˧ʁo˥|,zo˩no˥ nə…zo˩no˥ ə˧ʝi˧tsʰi˧ʝi˧ tʰi˩˥ ʈʂʰɯ˧qo˥gɤ˩ mv̩˩ni˩˥ hæ̃˧bɑ˥lɑ˩ʂæ˩dzɯ˩tʰv̩˩ʁo˩
tʰi˩˥|ʈʂʰɯ˧gi˧se˥dʑo˩|tʰi˩˥|go˧mi˧ʈʂʰɯ˧|le˧ʂɯ˧|ɑ̃,tʰi˩˥ ʈʂʰɯ˧gi˧se˥dʑo˩ tʰi˩˥ go˧mi˧ʈʂʰɯ˧ le˧ʂɯ˧ õ
